tau,x,y,u,v,theta1
0.000000000000000000e+00,9.451000000000000512e-01,-0.000000000000000000e+00,0.000000000000000000e+00,-6.638143445111763796e+00,0.000000000000000000e+00
1.000000000000000021e-03,9.450781183020575682e-01,-6.638091398837714201e-03,-4.376319395576613869e-02,-6.637987307078370591e+00,4.834700192853343473e-04
2.000000000000000042e-03,9.450124744197911930e-01,-1.327587052547257729e-02,-8.752396481522203842e-02,-6.637518904569896350e+00,9.669400348582047645e-04
3.000000000000000062e-03,9.449030719877404838e-01,-1.991302513088439793e-02,-1.312798897614590177e-01,-6.636738272359217206e+00,1.450410043006147972e-03
4.000000000000000083e-03,9.447499170630059284e-01,-2.654924301241389645e-02,-1.750285465362872439e-01,-6.635645468393805757e+00,1.933880040016703293e-03
5.000000000000000104e-03,9.445530181245506141e-01,-3.318421203693216331e-02,-2.187675137193841879e-01,-6.634240573784746964e+00,2.417350022177412218e-03
6.000000000000000125e-03,9.443123860722226759e-01,-3.981762016399696680e-02,-2.624943710071900860e-01,-6.632523692791369996e+00,2.900819985775821442e-03
7.000000000000000146e-03,9.440280342254995238e-01,-4.644915546899147651e-02,-3.062066994914663387e-01,-6.630494952801501363e+00,3.384289927099482214e-03
8.000000000000000167e-03,9.436999783219529592e-01,-5.307850616624106704e-02,-3.499020819374328850e-01,-6.628154504307346429e+00,3.867759842435951854e-03
9.000000000000001055e-03,9.433282365154374016e-01,-5.970536063210382660e-02,-3.935781030614009524e-01,-6.625502520877008195e+00,4.351229728072794622e-03
1.000000000000000194e-02,9.429128293739996725e-01,-6.632940742803039580e-02,-4.372323498078174997e-01,-6.622539199121662890e+00,4.834699580297583885e-03
1.100000000000000283e-02,9.424537798775132202e-01,-7.295033532358882744e-02,-4.808624116256390302e-01,-6.619264758658396808e+00,5.318169395397901247e-03
1.200000000000000372e-02,9.419511134150351239e-01,-7.956783331945010973e-02,-5.244658807439511738e-01,-6.615679442068727489e+00,5.801639169661339593e-03
1.300000000000000461e-02,9.414048577818888708e-01,-8.618159067033007159e-02,-5.680403524467525500e-01,-6.611783514852823451e+00,6.285108899375502212e-03
1.400000000000000550e-02,9.408150431764724653e-01,-9.279129690788334717e-02,-6.115834253468210857e-01,-6.607577265379445564e+00,6.768578580828004537e-03
1.500000000000000638e-02,9.401817021967928678e-01,-9.939664186354517372e-02,-6.550927016585809115e-01,-6.603061004831626057e+00,7.252048210306476748e-03
1.600000000000000727e-02,9.395048698367285400e-01,-1.059973156913167486e-01,-6.985657874698900649e-01,-6.598235067148116251e+00,7.735517784098561167e-03
1.700000000000000816e-02,9.387845834820205404e-01,-1.125930088904898707e-01,-7.420002930126685659e-01,-6.593099808960619868e+00,8.218987298491917462e-03
1.800000000000000905e-02,9.380208829059936138e-01,-1.191834123283068425e-01,-7.853938329322873724e-01,-6.587655609526845701e+00,8.702456749774220915e-03
1.900000000000000994e-02,9.372138102650088287e-01,-1.257682172625511907e-01,-8.287440265556397234e-01,-6.581902870659402716e+00,9.185926134233163287e-03
2.000000000000001082e-02,9.363634100936483184e-01,-1.323471153640653208e-01,-8.720484981578170425e-01,-6.575842016650573107e+00,9.669395448156457157e-03
2.100000000000001171e-02,9.354697292996344560e-01,-1.389197987391909139e-01,-9.153048772273121303e-01,-6.569473494192990870e+00,1.015286468783183245e-02
2.200000000000001260e-02,9.345328171584844634e-01,-1.454859599521278468e-01,-9.585107987296732635e-01,-6.562797772296264043e+00,1.063633384954703991e-02
2.300000000000001349e-02,9.335527253079023424e-01,-1.520452920472078473e-01,-1.001663903369534259e+00,-6.555815342199569962e+00,1.111980292958985109e-02
2.400000000000001438e-02,9.325295077419093470e-01,-1.585974885710787208e-01,-1.044761837850944897e+00,-6.548526717280267917e+00,1.160327192424806357e-02
2.500000000000001527e-02,9.314632208047151085e-01,-1.651422435947951517e-01,-1.087802255135929874e+00,-6.540932432958562970e+00,1.208674082980949402e-02
2.600000000000001615e-02,9.303539231843311885e-01,-1.716792517358122216e-01,-1.130782814701202676e+00,-6.533033046598259119e+00,1.257020964256198685e-02
2.700000000000001704e-02,9.292016759059289477e-01,-1.782082081798778694e-01,-1.173701182792961983e+00,-6.524829137403654222e+00,1.305367835879341076e-02
2.800000000000001793e-02,9.280065423249432843e-01,-1.847288087028201575e-01,-1.216555032679702553e+00,-6.516321306312604200e+00,1.353714697479166049e-02
2.900000000000001882e-02,9.267685881199249076e-01,-1.912407496922258199e-01,-1.259342044902968416e+00,-6.507510175885816928e+00,1.402061548684466023e-02
3.000000000000001971e-02,9.254878812851428105e-01,-1.977437281690061777e-01,-1.302059907525983329e+00,-6.498396390192410443e+00,1.450408389124036197e-02
3.100000000000002059e-02,9.241644921229390519e-01,-2.042374418088468147e-01,-1.344706316380088085e+00,-6.488980614691787885e+00,1.498755218426674717e-02
3.200000000000002148e-02,9.227984932358386239e-01,-2.107215889635372930e-01,-1.387278975308921414e+00,-6.479263536111882438e+00,1.547102036221182850e-02
3.300000000000002237e-02,9.213899595184156244e-01,-2.171958686821772733e-01,-1.429775596410279404e+00,-6.469245862323812268e+00,1.595448842136364814e-02
3.400000000000002326e-02,9.199389681489196224e-01,-2.236599807322555977e-01,-1.472193900275588829e+00,-6.458928322213007611e+00,1.643795635801028471e-02
3.500000000000002415e-02,9.184455985806629918e-01,-2.301136256205986719e-01,-1.514531616226934219e+00,-6.448311665546857085e+00,1.692142416843984976e-02
3.600000000000002504e-02,9.169099325331728778e-01,-2.365565046141848149e-01,-1.556786482551576034e+00,-6.437396662838930084e+00,1.740489184894048608e-02
3.700000000000002592e-02,9.153320539831097946e-01,-2.429883197608212198e-01,-1.598956246733903797e+00,-6.426184105209827635e+00,1.788835939580037809e-02
3.800000000000002681e-02,9.137120491549556300e-01,-2.494087739096799705e-01,-1.641038665684761977e+00,-6.414674804244725692e+00,1.837182680530774145e-02
