tau,x,y,u,v,theta1
0.000000000000000000e+00,9.996700000000000585e-01,-0.000000000000000000e+00,0.000000000000000000e+00,-6.285259100563322043e+00,0.000000000000000000e+00
1.000000000000000021e-03,9.996502480015406755e-01,-6.285217704058022881e-03,-3.950386669556619351e-02,-6.285134911457033624e+00,1.401416690378364388e-05
2.000000000000000042e-03,9.995909927874977452e-01,-1.257018703154435049e-02,-7.900617072747365133e-02,-6.284762349060803110e+00,2.802833380709706250e-05
3.000000000000000062e-03,9.994922367018433951e-01,-1.885465961573248861e-02,-1.185053494942651386e-01,-6.284141428142321573e+00,4.204250070947004923e-05
4.000000000000000083e-03,9.993539836510942909e-01,-2.513838710958592876e-02,-1.579998405188840493e-01,-6.283272173313749320e+00,5.605666761043238391e-05
5.000000000000000104e-03,9.991762391041558722e-01,-3.142112119560216965e-02,-1.974880815108681353e-01,-6.282154619030726472e+00,7.007083450951384466e-05
6.000000000000000125e-03,9.989590100921050819e-01,-3.770261359565552084e-02,-2.369685104285359778e-01,-6.280788809590990063e+00,8.408500140624421300e-05
7.000000000000000146e-03,9.987023052079100349e-01,-4.398261608083835900e-02,-2.764395655411630015e-01,-6.279174799132595020e+00,9.809916830015327045e-05
8.000000000000000167e-03,9.984061346060881803e-01,-5.026088048130038233e-02,-3.158996854911449437e-01,-6.277312651631741680e+00,1.121133351907707985e-04
9.000000000000001055e-03,9.980705100023022913e-01,-5.653715869608551270e-02,-3.553473093561458906e-01,-6.275202440900205403e+00,1.261275020776265652e-04
1.000000000000000194e-02,9.976954446728938386e-01,-6.281120270296601527e-02,-3.947808767112287454e-01,-6.272844250582373604e+00,1.401416689602503790e-04
1.100000000000000283e-02,9.972809534543546350e-01,-6.908276456827346090e-02,-4.341988276909651834e-01,-6.270238174151889332e+00,1.541558358381720081e-04
1.200000000000000372e-02,9.968270527427363081e-01,-7.535159645672614981e-02,-4.735996030515228217e-01,-6.267384314907893383e+00,1.681700027109212338e-04
1.300000000000000461e-02,9.963337604929977109e-01,-8.161745064125255911e-02,-5.129816442327268522e-01,-6.264282785970882728e+00,1.821841695780278378e-04
1.400000000000000550e-02,9.958010962182902714e-01,-8.788007951281046060e-02,-5.523433934200940865e-01,-6.260933710278163922e+00,1.961983364390216015e-04
1.500000000000000638e-02,9.952290809891809475e-01,-9.413923559020130616e-02,-5.916832936068359139e-01,-6.257337220578920167e+00,2.102125032934323064e-04
1.600000000000000727e-02,9.946177374328141196e-01,-1.003946715298794506e-01,-6.309997886558287306e-01,-6.253493459428879575e+00,2.242266701407897341e-04
1.700000000000000816e-02,9.939670897320104226e-01,-1.066461401357558930e-01,-6.702913233615486188e-01,-6.249402579184592632e+00,2.382408369806236661e-04
1.800000000000000905e-02,9.932771636243045155e-01,-1.128933943689960501e-01,-7.095563435119680573e-01,-6.245064741997316204e+00,2.522550038124639110e-04
1.900000000000000994e-02,9.925479864009205677e-01,-1.191361873578112712e-01,-7.487932959504119967e-01,-6.240480119806502302e+00,2.662691706358401690e-04
2.000000000000001082e-02,9.917795869056859059e-01,-1.253742724072435810e-01,-7.880006286373705260e-01,-6.235648894332894265e+00,2.802833374502823301e-04
2.100000000000001171e-02,9.909719955338832653e-01,-1.316074030089433855e-01,-8.271767907122662411e-01,-6.230571257071233937e+00,2.942975042553201215e-04
2.200000000000001260e-02,9.901252442310405355e-01,-1.378353328509396014e-01,-8.663202325551734306e-01,-6.225247409282571809e+00,3.083116710504833248e-04
2.300000000000001349e-02,9.892393664916596663e-01,-1.440578158274020693e-01,-9.054294058484859686e-01,-6.219677561986188152e+00,3.223258378353017215e-04
2.400000000000001438e-02,9.883143973578832897e-01,-1.502746060483954316e-01,-9.445027636385329162e-01,-6.213861935951121573e+00,3.363400046093050931e-04
2.500000000000001527e-02,9.873503734181000580e-01,-1.564854578496246429e-01,-9.835387603971375015e-01,-6.207800761687304991e+00,3.503541713720232211e-04
2.600000000000001615e-02,9.863473328054884748e-01,-1.626901258021711816e-01,-1.022535852083118479e+00,-6.201494279436314372e+00,3.643683381229858870e-04
2.700000000000001704e-02,9.853053151964992207e-01,-1.688883647222198803e-01,-1.061492496203730207e+00,-6.194942739161723999e+00,3.783825048617228725e-04
2.800000000000001793e-02,9.842243618092758606e-01,-1.750799296807760141e-01,-1.100407151876039658e+00,-6.188146400539070946e+00,3.923966715877639589e-04
2.900000000000001882e-02,9.831045154020142673e-01,-1.812645760133720640e-01,-1.139278279888238155e+00,-6.181105532945434078e+00,4.064108383006389278e-04
3.000000000000001971e-02,9.819458202712613160e-01,-1.874420593297638216e-01,-1.178104342760883938e+00,-6.173820415448618704e+00,4.204250049998775607e-04
3.100000000000002059e-02,9.807483222501514053e-01,-1.936121355236156694e-01,-1.216883804808074343e+00,-6.166291336795955758e+00,4.344391716850096391e-04
3.200000000000002148e-02,9.795120687065828058e-01,-1.997745607821742042e-01,-1.255615132198545147e+00,-6.158518595402712847e+00,4.484533383555649446e-04
3.300000000000002237e-02,9.782371085413321676e-01,-2.059290915959302859e-01,-1.294296793016692870e+00,-6.150502499340115392e+00,4.624675050110732587e-04
3.400000000000002326e-02,9.769234921861086329e-01,-2.120754847682689015e-01,-1.332927257323520687e+00,-6.142243366322981402e+00,4.764816716510643629e-04
3.500000000000002415e-02,9.755712716015465524e-01,-2.182134974251063175e-01,-1.371504997217501742e+00,-6.133741523696970788e+00,4.904958382750680386e-04
3.600000000000002504e-02,9.741805002751378062e-01,-2.243428870245144091e-01,-1.410028486895360533e+00,-6.124997308425446541e+00,5.045100048826140675e-04
3.700000000000002592e-02,9.727512332191031730e-01,-2.304634113663316664e-01,-1.448496202712767911e+00,-6.116011067075952212e+00,5.185241714732322310e-04
3.800000000000002681e-02,9.712835269682028594e-01,-2.365748286017604063e-01,-1.486906623244948156e+00,-6.106783155806301266e+00,5.325383380464523107e-04
