tau,x,y,u,v,theta1
0.000000000000000000e+00,9.849000000000001087e-01,-0.000000000000000000e+00,0.000000000000000000e+00,-6.378788660576978131e+00,0.000000000000000000e+00
1.000000000000000021e-03,9.848796509723647397e-01,-6.378744729656122409e-03,-4.069790877723295647e-02,-6.378656868299093397e+00,3.543068327334372180e-06
2.000000000000000042e-03,9.848186047684134303e-01,-1.275722587681849679e-02,-8.139405965483317851e-02,-6.378261497651476652e+00,7.086136654661146474e-06
3.000000000000000062e-03,9.847168640249599481e-01,-1.913517987136529805e-02,-1.220866948285571074e-01,-6.377602567191805072e+00,1.062920498197272330e-05
4.000000000000000083e-03,9.845744331365345881e-01,-2.551234316791772122e-02,-1.627740566849308623e-01,-6.376680107848139656e+00,1.417227330926150309e-05
5.000000000000000104e-03,9.843913182551463636e-01,-3.188845225820936130e-02,-2.034543878966132979e-01,-6.375494162916824692e+00,1.771534163651988794e-05
6.000000000000000125e-03,9.841675272899486071e-01,-3.826324368345312282e-02,-2.441259315177332079e-01,-6.374044788059547884e+00,2.125840996374027828e-05
7.000000000000000146e-03,9.839030699068100905e-01,-4.463645404670472244e-02,-2.847869310791915631e-01,-6.372332051299563815e+00,2.480147829091507793e-05
8.000000000000000167e-03,9.835979575277906672e-01,-5.100782002522202818e-02,-3.254356306839205071e-01,-6.370356033017071873e+00,2.834454661803668729e-05
9.000000000000001055e-03,9.832522033305215459e-01,-5.737707838281933675e-02,-3.660702751020901702e-01,-6.368116825943762827e+00,3.188761494509751018e-05
1.000000000000000194e-02,9.828658222474904171e-01,-6.374396598221579446e-02,-4.066891098662549497e-01,-6.365614535156523424e+00,3.543068327208994024e-05
1.100000000000000283e-02,9.824388309652318796e-01,-7.010821979737710818e-02,-4.472903813664301786e-01,-6.362849278070306092e+00,3.897375159900638806e-05
1.200000000000000372e-02,9.819712479234218305e-01,-7.646957692584967214e-02,-4.878723369450911340e-01,-6.359821184430162866e+00,4.251681992583925066e-05
1.300000000000000461e-02,9.814630933138781543e-01,-8.282777460108634027e-02,-5.284332249920850044e-01,-6.356530396302442654e+00,4.605988825258092509e-05
1.400000000000000550e-02,9.809143890794657095e-01,-8.918255020476301143e-02,-5.689712950394479885e-01,-6.352977068065157162e+00,4.960295657922382192e-05
1.500000000000000638e-02,9.803251589129066135e-01,-9.553364127908507697e-02,-6.094847978561184210e-01,-6.349161366397510164e+00,5.314602490576033819e-05
1.600000000000000727e-02,9.796954282554962701e-01,-1.018807855390830713e-01,-6.499719855425375448e-01,-6.345083470268600756e+00,5.668909323218287094e-05
1.700000000000000816e-02,9.790252242957244722e-01,-1.082237208848965543e-01,-6.904311116251294900e-01,-6.340743570925293504e+00,6.023216155848383073e-05
1.800000000000000905e-02,9.783145759678022468e-01,-1.145621854140454476e-01,-7.308604311506512463e-01,-6.336141871879259924e+00,6.377522988465561462e-05
1.900000000000000994e-02,9.775635139500944426e-01,-1.208959174336880632e-01,-7.712582007804055229e-01,-6.331278588893193948e+00,6.731829821069061962e-05
2.000000000000001082e-02,9.767720706634582806e-01,-1.272246554728648504e-01,-8.116226788843065032e-01,-6.326153949966204060e+00,7.086136653658124955e-05
2.100000000000001171e-02,9.759402802694874257e-01,-1.335481382947271978e-01,-8.519521256347906135e-01,-6.320768195318377636e+00,7.440443486231990144e-05
2.200000000000001260e-02,9.750681786686629104e-01,-1.398661049087502883e-01,-8.922448031005643099e-01,-6.315121577374529060e+00,7.794750318789898588e-05
2.300000000000001349e-02,9.741558034984099113e-01,-1.461782945829294689e-01,-9.324989753401800030e-01,-6.309214360747125383e+00,8.149057151331089990e-05
2.400000000000001438e-02,9.732031941310611556e-01,-1.524844468559589106e-01,-9.727129084954313498e-01,-6.303046822218396628e+00,8.503363983854804052e-05
2.500000000000001527e-02,9.722103916717270700e-01,-1.587843015493921317e-01,-1.012884870884560806e+00,-6.296619250721628092e+00,8.857670816360281834e-05
2.600000000000001615e-02,9.711774389560730025e-01,-1.650775987797833966e-01,-1.053013133095269671e+00,-6.289931947321644401e+00,9.211977648846763039e-05
2.700000000000001704e-02,9.701043805480030757e-01,-1.713640789708091028e-01,-1.093095968077523183e+00,-6.282985225194479995e+00,9.566284481313487369e-05
2.800000000000001793e-02,9.689912627372517795e-01,-1.776434828653685460e-01,-1.133131651236142234e+00,-6.275779409606242254e+00,9.920591313759695884e-05
2.900000000000001882e-02,9.678381335368827498e-01,-1.839155515376630079e-01,-1.173118460523173923e+00,-6.268314837891171720e+00,1.027489814618462829e-04
3.000000000000001971e-02,9.666450426806957319e-01,-1.901800264052526668e-01,-1.213054676530031628e+00,-6.260591859428896733e+00,1.062920497858752428e-04
3.100000000000002059e-02,9.654120416205409505e-01,-1.964366492410902498e-01,-1.252938582579397053e+00,-6.252610835620891372e+00,1.098351181096762492e-04
3.200000000000002148e-02,9.641391835235421093e-01,-2.026851621855307595e-01,-1.292768464816877572e+00,-6.244372139866136706e+00,1.133781864332416856e-04
3.300000000000002237e-02,9.628265232692279074e-01,-2.089253077583164975e-01,-1.332542612302407559e+00,-6.235876157535984454e+00,1.169212547565639761e-04
3.400000000000002326e-02,9.614741174465717410e-01,-2.151568288705365262e-01,-1.372259317101388820e+00,-6.227123285948235498e+00,1.204643230796355042e-04
3.500000000000002415e-02,9.600820243509411434e-01,-2.213794688365598728e-01,-1.411916874375561015e+00,-6.218113934340427917e+00,1.240073914024486805e-04
3.600000000000002504e-02,9.586503039809558535e-01,-2.275929713859414782e-01,-1.451513582473593411e+00,-6.208848523842339873e+00,1.275504597249959020e-04
3.700000000000002592e-02,9.571790180352560684e-01,-2.337970806753005004e-01,-1.491047743021390870e+00,-6.199327487447717111e+00,1.310935280472695793e-04
3.800000000000002681e-02,9.556682299091796562e-01,-2.399915413001697251e-01,-1.530517661012105846e+00,-6.189551269985215320e+00,1.346365963692620958e-04
3.900000000000002770e-02,9.541180046913504409e-01,-2.461760983068156383e-01,-1.569921644895849955e+00,-6.179520328088575987e+00,1.381796646909658622e-04
4.000000000000002859e-02,9.525284091601765590e-01,-2.523504972040283567e-01,-1.609258006669094687e+00,-6.169235130166028647e+00,1.417227330123732891e-04
4.100000000000002948e-02,9.508995117802591102e-01,-2.585144839748803047e-01,-1.648525061963755922e+00,-6.158696156368928420e+00,1.452658013334767598e-04
4.200000000000003036e-02,9.492313826987125447e-01,-2.646678050884536115e-01,-1.687721130135953818e+00,-6.147903898559630598e+00,1.488088696542686851e-04
4.300000000000003125e-02,9.475240937413964559e-01,-2.708102075115345064e-01,-1.726844534354440297e+00,-6.136858860278604055e+00,1.523519379747414755e-04
4.400000000000003214e-02,9.457777184090585543e-01,-2.769414387202748240e-01,-1.765893601688686587e+00,-6.125561556710795941e+00,1.558950062948875144e-04
4.500000000000003303e-02,9.439923318733901558e-01,-2.830612467118192033e-01,-1.804866663196624144e+00,-6.114012514651241403e+00,1.594380746146992125e-04
4.600000000000003392e-02,9.421680109729938524e-01,-2.891693800158978145e-01,-1.843762054012029861e+00,-6.102212272469928145e+00,1.629811429341689803e-04
4.700000000000003481e-02,9.403048342092644729e-01,-2.952655877063833922e-01,-1.882578113431550459e+00,-6.090161380075920228e+00,1.665242112532892014e-04
4.800000000000003569e-02,9.384028817421825597e-01,-3.013496194128119643e-01,-1.921313185001356061e+00,-6.077860398880744697e+00,1.700672795720522862e-04
4.900000000000003658e-02,9.364622353860216908e-01,-3.074212253318668875e-01,-1.959965616603419170e+00,-6.065309901761041012e+00,1.736103478904506454e-04
5.000000000000003747e-02,9.344829786049697606e-01,-3.134801562388248031e-01,-1.998533760541407522e+00,-6.052510473020487503e+00,1.771534162084766625e-04
5.100000000000003836e-02,9.324651965086646621e-01,-3.195261634989634003e-01,-2.037015973626187915e+00,-6.039462708350999520e+00,1.806964845261227481e-04
