tau,x,y,u,v,theta1
0.000000000000000000e+00,2.492999999999999661e-01,-0.000000000000000000e+00,0.000000000000000000e+00,-1.665039707705797056e+01,0.000000000000000000e+00
1.000000000000000021e-03,2.489826160715164216e-01,-1.664333137609446539e-02,-6.343305379030984570e-01,-1.662921963300851047e+01,3.824401447659934409e-05
2.000000000000000042e-03,2.480330807821691796e-01,-3.324444665020223622e-02,-1.263442993794923641e+00,-1.656610269964152593e+01,7.648802895220082915e-05
3.000000000000000062e-03,2.464591541165436217e-01,-4.976195293956942045e-02,-1.882297556091065527e+00,-1.646226985723691172e+01,1.147320434258065826e-04
4.000000000000000083e-03,2.442734772364464069e-01,-6.615605944443393727e-02,-2.486197282757887095e+00,-1.631968756029667134e+01,1.529760578964187590e-04
5.000000000000000104e-03,2.414931575287296850e-01,-8.238927226261064107e-02,-3.070927196440444540e+00,-1.614096376972719327e+01,1.912200723630394722e-04
6.000000000000000125e-03,2.381392310318806160e-01,-9.842697386319497477e-02,-3.632859339110551922e+00,-1.592922048158044745e+01,2.294640868246708497e-04
7.000000000000000146e-03,2.342360388510382196e-01,-1.142378668521328855e-01,-4.169019359263907099e+00,-1.568795176356398891e+01,2.677081012803150459e-04
8.000000000000000167e-03,2.298105564834388714e-01,-1.297942734172072288e-01,-4.677114387296612108e+00,-1.542087893482718286e+01,3.059521157289742154e-04
9.000000000000001055e-03,2.248917133480274333e-01,-1.450722928820940005e-01,-5.155525560563711807e+00,-1.513181313564705910e+01,3.441961301696504043e-04
1.000000000000000194e-02,2.195097350583318230e-01,-1.600518289286756990e-01,-5.603271156396631092e+00,-1.482453318307210033e+01,3.824401446013458213e-04
1.100000000000000283e-02,2.136955342110546940e-01,-1.747165045659273275e-01,-6.019947712240885096e+00,-1.450268382544891210e+01,4.206841590230626210e-04
1.200000000000000372e-02,2.074801678417389494e-01,-1.890534866480760579e-01,-6.405656827855318092e+00,-1.416969677301433350e+01,4.589281734338029038e-04
1.300000000000000461e-02,2.008943722220060957e-01,-2.030532429091237157e-01,-6.760924787337747155e+00,-1.382873454249148892e+01,4.971721878325687698e-04
1.400000000000000550e-02,1.939681790639264658e-01,-2.167092535897838790e-01,-7.086621011995897668e+00,-1.348265540077300351e+01,5.354162022183624279e-04
1.500000000000000638e-02,1.867306118737676046e-01,-2.300176974061934332e-01,-7.383879956582553916e+00,-1.313399657190135628e+01,5.736602165901859242e-04
1.600000000000000727e-02,1.792094573042669059e-01,-2.429771284566151768e-01,-7.654029633819245504e+00,-1.278497232352672874e+01,6.119042309470414673e-04
1.700000000000000816e-02,1.714311038309713764e-01,-2.555881571997489221e-01,-7.898528661978532206e+00,-1.243748345595084537e+01,6.501482452879311577e-04
1.800000000000000905e-02,1.634204387350737808e-01,-2.678531452529825385e-01,-8.118912669170065044e+00,-1.209313494189204086e+01,6.883922596118572041e-04
1.900000000000000994e-02,1.552007939638251621e-01,-2.797759207034537510e-01,-8.316750086663832420e+00,-1.175325888009535902e+01,7.266362739178217067e-04
2.000000000000001082e-02,1.467939317030837187e-01,-2.913615180346469380e-01,-8.493606810922109673e+00,-1.141894042653867913e+01,7.648802882048267660e-04
2.100000000000001171e-02,1.382200612024514497e-01,-3.026159446918972318e-01,-8.651018874833695804e+00,-1.109104487773992531e+01,8.031243024718744822e-04
2.200000000000001260e-02,1.294978793504188430e-01,-3.135459747255116003e-01,-8.790472097934934226e+00,-1.077024455326244734e+01,8.413683167179670640e-04
2.300000000000001349e-02,1.206446285594134638e-01,-3.241589688074568154e-01,-8.913387637885001880e+00,-1.045704453292164438e+01,8.796123309421066119e-04
2.400000000000001438e-02,1.116761665860308145e-01,-3.344627191465429639e-01,-9.021112401091633259e+00,-1.015180663867588784e+01,9.178563451432952261e-04
2.500000000000001527e-02,1.026070439137527490e-01,-3.444653173536152968e-01,-9.114913356738423289e+00,-9.854771312699243779e+00,9.561003593205351153e-04
2.600000000000001615e-02,9.345058522626319142e-02,-3.541750430626962598e-01,-9.195974911117264838e+00,-9.566077238819351791e+00,9.943443734728284883e-04
2.700000000000001704e-02,8.421897228191407847e-02,-3.636002710353448686e-01,-9.265398620900089810e+00,-9.285778694376741527e+00,1.032588387599177229e-03
2.800000000000001793e-02,7.492332616098337783e-02,-3.727493945132621112e-01,-9.324204643497541412e+00,-9.013860714330181878e+00,1.070832401698583762e-03
2.900000000000001882e-02,6.557378740301879338e-02,-3.816307626984077883e-01,-9.373334433190832371e+00,-8.750252209196435871e+00,1.109076415770049971e-03
3.000000000000001971e-02,5.617959299271904627e-02,-3.902526304001298074e-01,-9.413654289802119379e+00,-8.494837212000742710e+00,1.147320429812578174e-03
3.100000000000002059e-02,4.674914950270740027e-02,-3.986231180726576007e-01,-9.445959451029844800e+00,-8.247464444142131867e+00,1.185564443825170471e-03
3.200000000000002148e-02,3.729010197392676473e-02,-4.067501806579396639e-01,-9.470978490377831349e+00,-8.007955391762212827e+00,1.223808457806828962e-03
3.300000000000002237e-02,2.780939832234949338e-02,-4.146415838375099305e-01,-9.489377840836670686e+00,-7.776111077314062925e+00,1.262052471756555747e-03
3.400000000000002326e-02,1.831334921613910621e-02,-4.223048864760187704e-01,-9.501766311536405496e+00,-7.551717698883536833e+00,1.300296485673352927e-03
3.500000000000002415e-02,8.807683480724798689e-03,-4.297474282042762495e-01,-9.508699502030982131e+00,-7.334551294817217126e+00,1.338540499556222819e-03
3.600000000000002504e-02,-7.024008307005037699e-04,-4.369763212391654661e-01,-9.510684048228045029e+00,-7.124381575034074210e+00,1.376784513404167307e-03
3.700000000000002592e-02,-1.021218950960308021e-02,-4.439984456710159844e-01,-9.508181656658367231e+00,-6.920975044166651102e+00,1.415028527216188707e-03
3.800000000000002681e-02,-1.971740918152682653e-02,-4.508204475663118438e-01,-9.501612901042699733e+00,-6.724097526110670131e+00,1.453272540991289120e-03
3.900000000000002770e-02,-2.921418796732381390e-02,-4.574487393358476761e-01,-9.491360768039752926e+00,-6.533516185084859096e+00,1.491516554728470646e-03
4.000000000000002859e-02,-3.869901956289752143e-02,-4.638895019068498549e-01,-9.477773948554357730e+00,-6.349001125135486312e+00,1.529760568426735603e-03
4.100000000000002948e-02,-4.816873048414159475e-02,-4.701486883135097550e-01,-9.461169877798525363e+00,-6.170326638242910278e+00,1.568004582085085873e-03
4.200000000000003036e-02,-5.762045022947077239e-02,-4.762320283852206071e-01,-9.441837532039002667e+00,-5.997272160789280271e+00,1.606248595702523775e-03
4.300000000000003125e-02,-6.705158412196748907e-02,-4.821450342669211242e-01,-9.420039993122125921e+00,-5.829622989059596527e+00,1.644492609278051408e-03
4.400000000000003214e-02,-7.645978860532522126e-02,-4.878930065525862170e-01,-9.396016793828938063e+00,-5.667170796572700731e+00,1.682736622810670872e-03
4.500000000000003303e-02,-8.584294878142242902e-02,-4.934810408522254388e-01,-9.369986058186395184e+00,-5.509713989258835376e+00,1.720980636299384268e-03
4.600000000000003392e-02,-9.519915799174363813e-02,-4.989140346457885400e-01,-9.342146451282351549e+00,-5.357057928696287163e+00,1.759224649743193697e-03
4.700000000000003481e-02,-1.045266992594218042e-01,-5.041966943050499861e-01,-9.312678953087125677e+00,-5.209015048674049631e+00,1.797468663141101475e-03
4.800000000000003569e-02,-1.138240284230159771e-01,-5.093335421876550306e-01,-9.281748470413713648e+00,-5.065404886149995178e+00,1.835712676492109487e-03
4.900000000000003658e-02,-1.230897588069899545e-01,-5.143289237267528735e-01,-9.249505300559105692e+00,-4.926054044123683973e+00,1.873956689795220048e-03
5.000000000000003747e-02,-1.323226472870449311e-01,-5.191870144556240962e-01,-9.216086459440884227e+00,-4.790796100948640834e+00,1.912200703049435260e-03
5.100000000000003836e-02,-1.415215816208739708e-01,-5.239118269199352085e-01,-9.181616886235799413e+00,-4.659471478090219776e+00,1.950444716253757222e-03
5.200000000000003925e-02,-1.506855689264928466e-01,-5.285072174411750145e-01,-9.146210535683726661e+00,-4.531927276221344947e+00,1.988688729407188036e-03
5.300000000000004013e-02,-1.598137252010406184e-01,-5.329768927038045501e-01,-9.109971368372471900e+00,-4.408017087778220322e+00,2.026932742508730234e-03
5.400000000000004102e-02,-1.689052657828412074e-01,-5.373244161460155599e-01,-9.072994248488065239e+00,-4.287600792618548873e+00,2.065176755557385484e-03
5.500000000000004191e-02,-1.779594966685991153e-01,-5.415532141399973520e-01,-9.035365757716169455e+00,-4.170544342190580345e+00,2.103420768552155887e-03
5.600000000000004280e-02,-1.869758066059056534e-01,-5.456665819524914030e-01,-8.997164933222469685e+00,-4.056719536593640818e+00,2.141664781492043975e-03
5.700000000000004369e-02,-1.959536598888005354e-01,-5.496676894803532720e-01,-8.958463936929009108e+00,-3.946003798056732403e+00,2.179908794376051416e-03
5.800000000000004458e-02,-2.048925897910151839e-01,-5.535595867590018537e-01,-8.919328662641923700e+00,-3.838279943653424731e+00,2.218152807203180744e-03
5.900000000000004546e-02,-2.137921925777704346e-01,-5.573452092441538719e-01,-8.879819286974788284e+00,-3.733435959484936451e+00,2.256396819972434058e-03
6.000000000000004635e-02,-2.226521220426600500e-01,-5.610273828692213804e-01,-8.839990769449819652e+00,-3.631364778079118061e+00,2.294640832682813460e-03
6.100000000000004724e-02,-2.314720845212727696e-01,-5.646088288822924683e-01,-8.799893306644884561e+00,-3.531964060354207735e+00,2.332884845333321050e-03
6.200000000000004813e-02,-2.402518343378355903e-01,-5.680921684677960881e-01,-8.759572744785240062e+00,-3.435135983168613460e+00,2.371128857922958928e-03
6.300000000000004208e-02,-2.489911696453429024e-01,-5.714799271588327789e-01,-8.719070954752382363e+00,-3.340787033209759560e+00,2.409372870450729193e-03
6.400000000000004297e-02,-2.576899286234120567e-01,-5.747745390467947635e-01,-8.678426173095420637e+00,-3.248827807756240915e+00,2.447616882915633948e-03
6.500000000000004385e-02,-2.663479860015131595e-01,-5.779783507953397681e-01,-8.637673312280016447e+00,-3.159172822669865432e+00,2.485860895316675291e-03
6.600000000000004474e-02,-2.749652498782948484e-01,-5.810936254660654665e-01,-8.596844243093151761e+00,-3.071740327830634776e+00,2.524104907652855757e-03
6.700000000000004563e-02,-2.835416588105006408e-01,-5.841225461633857696e-01,-8.555968051835968424e+00,-2.986452130112499770e+00,2.562348919923177013e-03
6.800000000000004652e-02,-2.920771791474715551e-01,-5.870672195061585885e-01,-8.515071274678936319e+00,-2.903233423905943855e+00,2.600592932126641593e-03
6.900000000000004741e-02,-3.005718025894861811e-01,-5.899296789335850555e-01,-8.474178111321036155e+00,-2.822012629121036120e+00,2.638836944262251162e-03
7.000000000000004829e-02,-3.090255439502255785e-01,-5.927118878528023771e-01,-8.433310619885215687e+00,-2.742721236548148145e+00,2.677080956329008256e-03
7.100000000000004918e-02,-3.174384391054853594e-01,-5.954157426354487193e-01,-8.392488894793741494e+00,-2.665293660410215537e+00,2.715324968325914974e-03
7.200000000000005007e-02,-3.258105431119154294e-01,-5.980430754702945606e-01,-8.351731229197316253e+00,-2.589667097907887072e+00,2.753568980251973417e-03
7.300000000000005096e-02,-3.341419284810638879e-01,-6.005956570788235638e-01,-8.311054263379036300e+00,-2.515781395535177545e+00,2.791812992106185685e-03
7.400000000000005185e-02,-3.424326835953523940e-01,-6.030751993004155320e-01,-8.270473120416788504e+00,-2.443578921926678138e+00,2.830057003887553879e-03
7.500000000000005274e-02,-3.506829112538313309e-01,-6.054833575535384371e-01,-8.230001530263942655e+00,-2.373004446986640481e+00,2.868301015595080099e-03
