tau,x,y,u,v,theta1
0.000000000000000000e+00,9.995000000000000551e-01,-0.000000000000000000e+00,0.000000000000000000e+00,-6.286327685624186756e+00,0.000000000000000000e+00
1.000000000000000021e-03,9.994802411023882005e-01,-6.286286261140549593e-03,-3.951766482452729462e-02,-6.286203412583665440e+00,1.197579780424996720e-07
2.000000000000000042e-03,9.994209651919437887e-01,-1.257232397784524905e-02,-7.903376487333985123e-02,-6.285830598397669000e+00,2.395159560849992911e-07
3.000000000000000062e-03,9.993221746158070795e-01,-1.885786461554931487e-02,-1.185467354332396250e-01,-6.285209257872688582e+00,3.592739341274988837e-07
4.000000000000000083e-03,9.991838732857739602e-01,-2.514265965942968223e-02,-1.580550119160594458e-01,-6.284339415685542107e+00,4.790319121699983704e-07
5.000000000000000104e-03,9.990060666781401810e-01,-3.142646062427487119e-02,-1.975570299211719394e-01,-6.283221106382379517e+00,5.987898902124977512e-07
6.000000000000000125e-03,9.987887618334821971e-01,-3.770901906435365075e-02,-2.370512252979907752e-01,-6.281854374377283889e+00,7.185478682549970262e-07
7.000000000000000146e-03,9.985319673563758380e-01,-4.399008658328210780e-02,-2.765360342084615120e-01,-6.280239273950478207e+00,8.383058462974960894e-07
8.000000000000000167e-03,9.982356934150529160e-01,-5.026941484388873504e-02,-3.160098931895394814e-01,-6.278375869246129781e+00,9.580638243399948350e-07
9.000000000000001055e-03,9.978999517409946618e-01,-5.654675557807708336e-02,-3.554712392156522682e-01,-6.276264234269757658e+00,1.077821802382493369e-06
1.000000000000000194e-02,9.975247556284631001e-01,-6.282186059668568023e-02,-3.949185097611440654e-01,-6.273904452885239458e+00,1.197579780424991691e-06
1.100000000000000283e-02,9.971101199339700294e-01,-6.909448179934470080e-02,-4.343501428626992955e-01,-6.271296618811424750e+00,1.317337758467489589e-06
1.200000000000000372e-02,9.966560610756832750e-01,-7.536437118432912086e-02,-4.737645771817429741e-01,-6.268440835618342533e+00,1.437095736509987276e-06
1.300000000000000461e-02,9.961625970327709911e-01,-8.163128085840777592e-02,-5.131602520668152589e-01,-6.265337216723018798e+00,1.556853714552484539e-06
1.400000000000000550e-02,9.956297473446831248e-01,-8.789496304668814597e-02,-5.525356076159175789e-01,-6.261985885384887318e+00,1.676611692594981379e-06
1.500000000000000638e-02,9.950575331103711507e-01,-9.415517010245630369e-02,-5.918890847388279530e-01,-6.258386974700810512e+00,1.796369670637477795e-06
1.600000000000000727e-02,9.944459769874446353e-01,-1.004116545170116448e-01,-6.312191252193821711e-01,-6.254540627599698865e+00,1.916127648679974000e-06
1.700000000000000816e-02,9.937951031912665156e-01,-1.066641689294961365e-01,-6.705241717777196131e-01,-6.250446996836733327e+00,2.035885626722469569e-06
1.800000000000000905e-02,9.931049374939854291e-01,-1.129124661367174876e-01,-7.098026681324896003e-01,-6.246106244987188916e+00,2.155643604764964715e-06
1.900000000000000994e-02,9.923755072235063146e-01,-1.191562991029660040e-01,-7.490530590630171126e-01,-6.241518544439866645e+00,2.275401582807459013e-06
2.000000000000001082e-02,9.916068412623985084e-01,-1.253954209698247002e-01,-7.882737904714239852e-01,-6.236684077390123093e+00,2.395159560849952888e-06
2.100000000000001171e-02,9.907989700467420002e-01,-1.316295850659721378e-01,-8.274633094447043646e-01,-6.231603035832508297e+00,2.514917538892445917e-06
2.200000000000001260e-02,9.899519255649114058e-01,-1.378585449169777988e-01,-8.666200643167505380e-01,-6.226275621553003070e+00,2.634675516934938521e-06
2.300000000000001349e-02,9.890657413562983225e-01,-1.440820542550895200e-01,-9.057425047303276910e-01,-6.220702046120866413e+00,2.754433494977430279e-06
2.400000000000001438e-02,9.881404525099711789e-01,-1.502998670290124905e-01,-9.448290816989940444e-01,-6.214882530880082356e+00,2.874191473019921613e-06
