tau,x,y,u,v,theta1
0.000000000000000000e+00,9.999839999999999840e-01,-0.000000000000000000e+00,0.000000000000000000e+00,-6.283285838948762247e+00,0.000000000000000000e+00
1.000000000000000021e-03,9.999642602248621781e-01,-6.283244494600151962e-03,-3.947942038026329425e-02,-6.283161806311044373e+00,6.248538954285287722e-07
2.000000000000000042e-03,9.999050416788168860e-01,-1.256624092555738703e-02,-7.895728203092389208e-02,-6.282789713295433565e+00,1.249707790857053521e-06
3.000000000000000062e-03,9.998063466999353999e-01,-1.884874123902380294e-02,-1.184320262839387017e-01,-6.282169574594346884e+00,1.874561686285569482e-06
4.000000000000000083e-03,9.996681791849008070e-01,-2.513049740074112595e-02,-1.579020945943815368e-01,-6.281301414694504537e+00,2.499415581714072314e-06
5.000000000000000104e-03,9.994905445888535578e-01,-3.141126140583457016e-02,-1.973659286019953940e-01,-6.280185267875957322e+00,3.124269477142557358e-06
6.000000000000000125e-03,9.992734499251767488e-01,-3.769078528860551891e-02,-2.368219701927375687e-01,-6.278821178210735710e+00,3.749123372571021226e-06
7.000000000000000146e-03,9.990169037652185668e-01,-4.396882113232266492e-02,-2.762686615603148765e-01,-6.277209199561108122e+00,4.373977267999458837e-06
8.000000000000000167e-03,9.987209162379540039e-01,-5.024512107901121793e-02,-3.157044452677069124e-01,-6.275349395577451972e+00,4.998831163427865954e-06
9.000000000000001055e-03,9.983854990295848442e-01,-5.651943733923978086e-02,-3.551277643086745428e-01,-6.273241839695739230e+00,5.623685058856238343e-06
1.000000000000000194e-02,9.980106653830780328e-01,-6.279152220190455103e-02,-3.945370621692513846e-01,-6.270886615134634745e+00,6.248538954284570921e-06
1.100000000000000283e-02,9.975964300976427612e-01,-6.906112804401036420e-02,-4.339307828892158270e-01,-6.268283814892209982e+00,6.873392849712860300e-06
1.200000000000000372e-02,9.971428095281460457e-01,-7.532800734044832469e-02,-4.733073711235413761e-01,-6.265433541742266854e+00,7.498246745141102246e-06
1.300000000000000461e-02,9.966498215844666886e-01,-8.159191267376952883e-02,-5.126652722038221865e-01,-6.262335908230278747e+00,8.123100640569291676e-06
1.400000000000000550e-02,9.961174857307879549e-01,-8.785259674395454188e-02,-5.520029321996723359e-01,-6.258991036668942520e+00,8.747954535997425201e-06
1.500000000000000638e-02,9.955458229848288543e-01,-9.410981237817823974e-02,-5.913187979800956784e-01,-6.255399059133347706e+00,9.372808431425497740e-06
1.600000000000000727e-02,9.949348559170143602e-01,-1.003633125405696269e-01,-6.306113172748242235e-01,-6.251560117455756682e+00,9.997662326853504211e-06
1.700000000000000816e-02,9.942846086495836788e-01,-1.066128503419662421e-01,-6.698789387356220981e-01,-6.247474363220002935e+00,1.062251622228144122e-05
1.800000000000000905e-02,9.935951068556375665e-01,-1.128581790496627629e-01,-7.091201119975536482e-01,-6.243141957755500293e+00,1.124737011770930370e-05
1.900000000000000994e-02,9.928663777581248073e-01,-1.190990520971534350e-01,-7.483332877402123495e-01,-6.238563072130871134e+00,1.187222401313708825e-05
2.000000000000001082e-02,9.920984501287666291e-01,-1.253352230938679090e-01,-7.875169177489081962e-01,-6.233737887147185575e+00,1.249707790856478979e-05
2.100000000000001171e-02,9.912913542869208339e-01,-1.315664458349002086e-01,-8.266694549758116795e-01,-6.228666593330820511e+00,1.312193180399240493e-05
2.200000000000001260e-02,9.904451220983838677e-01,-1.377924743107302175e-01,-8.657893536010518032e-01,-6.223349390925929647e+00,1.374678569941992859e-05
2.300000000000001349e-02,9.895597869741328267e-01,-1.440130627169376454e-01,-9.048750690937649166e-01,-6.217786489886535151e+00,1.437163959484735569e-05
2.400000000000001438e-02,9.886353838690057350e-01,-1.502279654639076534e-01,-9.439250582730932537e-01,-6.211978109868229403e+00,1.499649349027468284e-05
