tau,x,y,u,v,theta1
0.000000000000000000e+00,9.978000000000000203e-01,-0.000000000000000000e+00,0.000000000000000000e+00,-6.297023553670819673e+00,0.000000000000000000e+00
1.000000000000000021e-03,9.977801737203388921e-01,-6.296981846250934017e-03,-3.965242713863224161e-02,-6.296898431829640153e+00,1.789626405540326500e-06
2.000000000000000042e-03,9.977206956744527622e-01,-1.259371345050978169e-02,-7.930326809001865540e-02,-6.296523071376904923e+00,3.579252811080039324e-06
3.000000000000000062e-03,9.976215682415977559e-01,-1.888994458092597972e-02,-1.189509367328554779e-01,-6.295897487524786840e+00,5.368879216618526704e-06
4.000000000000000083e-03,9.974827953870908370e-01,-2.518542502593157373e-02,-1.585938470777198961e-01,-6.295021705626168362e+00,7.158505622155174328e-06
5.000000000000000104e-03,9.973043826621450503e-01,-3.147990460438140209e-02,-1.982304133330027029e-01,-6.293895761173536663e+00,8.948132027689370638e-06
6.000000000000000125e-03,9.970863372036387062e-01,-3.777313317569196138e-02,-2.378590499708314876e-01,-6.292519699797432864e+00,1.073775843322050238e-05
7.000000000000000146e-03,9.968286677338185076e-01,-4.406486064997850588e-02,-2.774781717929812874e-01,-6.290893577264463410e+00,1.252738483874795462e-05
8.000000000000000167e-03,9.965313845599371723e-01,-5.035483699818994047e-02,-3.170861939967694609e-01,-6.289017459474864680e+00,1.431701124427111578e-05
9.000000000000001055e-03,9.961944995738248876e-01,-5.664281226224103516e-02,-3.566815322409319089e-01,-6.286891422459627066e+00,1.610663764978937263e-05
1.000000000000000194e-02,9.958180262513950387e-01,-6.292853656514156568e-02,-3.962626027114769522e-01,-6.284515552377179404e+00,1.789626405530211190e-05
1.100000000000000283e-02,9.954019796520837682e-01,-6.921176012112190135e-02,-4.358278221875144243e-01,-6.281889945509626649e+00,1.968589046080872204e-05
1.200000000000000372e-02,9.949463764182242542e-01,-7.549223324575463079e-02,-4.753756081070563688e-01,-6.279014708258549682e+00,2.147551686630858641e-05
1.300000000000000461e-02,9.944512347743547087e-01,-8.176970636607175380e-02,-5.149043786327863748e-01,-6.275889957140364572e+00,2.326514327180109515e-05
1.400000000000000550e-02,9.939165745264610941e-01,-8.804393003067698120e-02,-5.544125527177942159e-01,-6.272515818781236874e+00,2.505476967728563500e-05
1.500000000000000638e-02,9.933424170611536708e-01,-9.431465491985278893e-02,-5.938985501712733539e-01,-6.268892429911557151e+00,2.684439608276159271e-05
1.600000000000000727e-02,9.927287853447779309e-01,-1.005816318556616989e-01,-6.333607917241768082e-01,-6.265019937359978641e+00,2.863402248822835165e-05
1.700000000000000816e-02,9.920757039224603613e-01,-1.068446118120413568e-01,-6.727976990948300040e-01,-6.260898498047008154e+00,3.042364889368530194e-05
1.800000000000000905e-02,9.913831989170879266e-01,-1.131033459248930173e-01,-7.122076950544962148e-01,-6.256528278978164437e+00,3.221327529913183034e-05
1.900000000000000994e-02,9.906512980282228265e-01,-1.193575855021629384e-01,-7.515892034928914889e-01,-6.251909457236692447e+00,3.400290170456732699e-05
2.000000000000001082e-02,9.898800305309508607e-01,-1.256070820339162952e-01,-7.909406494836471735e-01,-6.247042219975839750e+00,3.579252810999117523e-05
2.100000000000001171e-02,9.890694272746650695e-01,-1.318515872024030866e-01,-8.302604593497152630e-01,-6.241926764410693274e+00,3.758215451540275844e-05
2.200000000000001260e-02,9.882195206817835365e-01,-1.380908528921158118e-01,-8.695470607287149045e-01,-6.236563297809580853e+00,3.937178092080147353e-05
2.300000000000001349e-02,9.873303447464022442e-01,-1.443246311998381548e-01,-9.087988826382158436e-01,-6.230952037485033124e+00,4.116140732618669707e-05
2.400000000000001438e-02,9.864019350328825375e-01,-1.505526744446844534e-01,-9.480143555409565881e-01,-6.225093210784305775e+00,4.295103373155781921e-05
2.500000000000001527e-02,9.854343286743731944e-01,-1.567747351781296206e-01,-9.871919114099935166e-01,-6.218987055079469251e+00,4.474066013691423008e-05
2.600000000000001615e-02,9.844275643712676604e-01,-1.629905661940287132e-01,-1.026329983793778267e+00,-6.212633817757062360e+00,4.653028654225531305e-05
2.700000000000001704e-02,9.833816823895962234e-01,-1.691999205386260918e-01,-1.065427007881160293e+00,-6.206033756207304464e+00,4.831991294758045824e-05
2.800000000000001793e-02,9.822967245593530183e-01,-1.754025515205535346e-01,-1.104481420566311156e+00,-6.199187137812879556e+00,5.010953935288904902e-05
2.900000000000001882e-02,9.811727342727583068e-01,-1.815982127208168873e-01,-1.143491660513568320e+00,-6.192094239937282474e+00,5.189916575818047552e-05
3.000000000000001971e-02,9.800097564824559182e-01,-1.877866580027708621e-01,-1.182456168222193460e+00,-6.184755349912732569e+00,5.368879216345412788e-05
3.100000000000002059e-02,9.788078376996460772e-01,-1.939676415220815686e-01,-1.221373386091045399e+00,-6.177170765027653054e+00,5.547841856870938947e-05
3.200000000000002148e-02,9.775670259921533933e-01,-2.001409177366762771e-01,-1.260241758483161334e+00,-6.169340792513717808e+00,5.726804497394564363e-05
3.300000000000002237e-02,9.762873709824304580e-01,-2.063062414166799974e-01,-1.299059731790245253e+00,-6.161265749532469194e+00,5.905767137916228052e-05
3.400000000000002326e-02,9.749689238454970486e-01,-2.124633676543384586e-01,-1.337825754497060204e+00,-6.152945963161502441e+00,6.084729778435868348e-05
3.500000000000002415e-02,9.736117373068148284e-01,-2.186120518739270990e-01,-1.376538277245720643e+00,-6.144381770380220154e+00,6.263692418953424265e-05
3.600000000000002504e-02,9.722158656400979870e-01,-2.247520498416455681e-01,-1.415195752899883086e+00,-6.135573518055158715e+00,6.442655059468834140e-05
3.700000000000002592e-02,9.707813646650594874e-01,-2.308831176754973513e-01,-1.453796636608830184e+00,-6.126521562924883924e+00,6.621617699982037663e-05
3.800000000000002681e-02,9.693082917450934755e-01,-2.370050118551540463e-01,-1.492339385871447544e+00,-6.117226271584461195e+00,6.800580340492972493e-05
3.900000000000002770e-02,9.677967057848939625e-01,-2.431174892318039293e-01,-1.530822460600088419e+00,-6.107688020469496770e+00,6.979542981001577644e-05
4.000000000000002859e-02,9.662466672280092261e-01,-2.492203070379843677e-01,-1.569244323184323830e+00,-6.097907195839754380e+00,7.158505621507792128e-05
4.100000000000002948e-02,9.646582380543328172e-01,-2.553132228973976070e-01,-1.607603438554575659e+00,-6.087884193762347351e+00,7.337468262011554961e-05
4.200000000000003036e-02,9.630314817775310621e-01,-2.613959948347094331e-01,-1.645898274245628512e+00,-6.077619420094504399e+00,7.516430902512803800e-05
4.300000000000003125e-02,9.613664634424067268e-01,-2.674683812853306808e-01,-1.684127300460019461e+00,-6.067113290465911746e+00,7.695393543011477659e-05
4.400000000000003214e-02,9.596632496222000652e-01,-2.735301411051804799e-01,-1.722288990131299879e+00,-6.056366230260637806e+00,7.874356183507515551e-05
4.500000000000003303e-02,9.579219084158256958e-01,-2.795810335804316260e-01,-1.760381818987168945e+00,-6.045378674598629765e+00,8.053318824000856491e-05
4.600000000000003392e-02,9.561425094450473061e-01,-2.856208184372369119e-01,-1.798404265612474351e+00,-6.034151068316794486e+00,8.232281464491438135e-05
4.700000000000003481e-02,9.543251238515890744e-01,-2.916492558514364175e-01,-1.836354811512077800e+00,-6.022683865949658433e+00,8.411244104979199499e-05
4.800000000000003569e-02,9.524698242941840309e-01,-2.976661064582454275e-01,-1.874231941173582605e+00,-6.010977531709611021e+00,8.590206745464079596e-05
4.900000000000003658e-02,9.505766849455601353e-01,-3.036711313619220864e-01,-1.912034142129919623e+00,-5.999032539466728764e+00,8.769169385946017439e-05
5.000000000000003747e-02,9.486457814893638485e-01,-3.096640921454149042e-01,-1.949759905021789530e+00,-5.986849372728182850e+00,8.948132026424952042e-05
5.100000000000003836e-02,9.466771911170209775e-01,-3.156447508799894441e-01,-1.987407723659958325e+00,-5.974428524617233727e+00,9.127094666900821063e-05
5.200000000000003925e-02,9.446709925245356798e-01,-3.216128701348335839e-01,-2.024976095087402506e+00,-5.961770497851813566e+00,9.306057307373563517e-05
5.300000000000004013e-02,9.426272659092271855e-01,-3.275682129866414605e-01,-2.062463519641301701e+00,-5.948875804722689509e+00,9.485019947843118416e-05
5.400000000000004102e-02,9.405460929664046787e-01,-3.335105430291750994e-01,-2.099868501014875655e+00,-5.935744967071223677e+00,9.663982588309423419e-05
5.500000000000004191e-02,9.384275568859804517e-01,-3.394396243828037285e-01,-2.137189546319063549e+00,-5.922378516266717519e+00,9.842945228772417539e-05
5.600000000000004280e-02,9.362717423490212187e-01,-3.453552217040203320e-01,-2.174425166144040578e+00,-5.908776993183347592e+00,1.002190786923203979e-04
5.700000000000004369e-02,9.340787355242384793e-01,-3.512571001949347238e-01,-2.211573874620570646e+00,-5.894940948176695450e+00,1.020087050968822919e-04
5.800000000000004458e-02,9.318486240644170415e-01,-3.571450256127430278e-01,-2.248634189481193868e+00,-5.880870941059872514e+00,1.037983315014092474e-04
