tau,x,y,u,v,theta1
0.000000000000000000e+00,9.803999999999999382e-01,-0.000000000000000000e+00,0.000000000000000000e+00,-6.407566622822638003e+00,0.000000000000000000e+00
1.000000000000000021e-03,9.803794637320090155e-01,-6.407521883275978623e-03,-4.107238415975409535e-02,-6.407432404692579020e+00,6.171849763612699510e-07
2.000000000000000042e-03,9.803178558389622488e-01,-1.281477533249676150e-02,-8.214294647835029828e-02,-6.407029756917142826e+00,1.234369952722514703e-06
3.000000000000000062e-03,9.802151790535812426e-01,-1.922149192683645855e-02,-1.232098652218688861e-01,-6.406358699340024110e+00,1.851554929083709162e-06
4.000000000000000083e-03,9.800714379302231105e-01,-2.562740327192676235e-02,-1.642713188708551930e-01,-6.405419265032363363e+00,2.468739905444828235e-06
5.000000000000000104e-03,9.798866388446124676e-01,-3.203224101308322497e-02,-2.053254862275240289e-01,-6.404211500290221792e+00,3.085924881805846723e-06
6.000000000000000125e-03,9.796607899934663966e-01,-3.843573684852848171e-02,-2.463705465229302782e-01,-6.402735464631045481e+00,3.703109858166739427e-06
7.000000000000000146e-03,9.793939013940117233e-01,-4.483762254261145636e-02,-2.874046795240944308e-01,-6.400991230789118802e+00,4.320294834527480935e-06
8.000000000000000167e-03,9.790859848833957102e-01,-5.123762993902150620e-02,-3.284260656410719070e-01,-6.398978884710012416e+00,4.937479810888046260e-06
9.000000000000001055e-03,9.787370541179895023e-01,-5.763549097399651294e-02,-3.694328860339548548e-01,-6.396698525544022296e+00,5.554664787248410839e-06
1.000000000000000194e-02,9.783471245725844367e-01,-6.403093768952390630e-02,-4.104233227197950362e-01,-6.394150265638600672e+00,6.171849763608549260e-06
1.100000000000000283e-02,9.779162135394819932e-01,-7.042370224653360378e-02,-4.513955586794370922e-01,-6.391334230529782445e+00,6.789034739968436112e-06
1.200000000000000372e-02,9.774443401274762744e-01,-7.681351693808191605e-02,-4.923477779642504437e-01,-6.388250558932606182e+00,7.406219716328046831e-06
1.300000000000000461e-02,9.769315252607304600e-01,-8.320011420252530765e-02,-5.332781658027490046e-01,-6.384899402730532358e+00,8.023404692687355160e-06
1.400000000000000550e-02,9.763777916775461252e-01,-8.958322663668315256e-02,-5.741849087070876045e-01,-6.381280926963860622e+00,8.640589669046337381e-06
