tau,x,y,u,v,theta1
0.000000000000000000e+00,9.990000000000001101e-01,-0.000000000000000000e+00,0.000000000000000000e+00,-6.289471637223369882e+00,0.000000000000000000e+00
1.000000000000000021e-03,9.989802213272164222e-01,-6.289430129752748844e-03,-3.955721464570382401e-02,-6.289347115224260598e+00,2.957779529058178503e-06
2.000000000000000042e-03,9.989208860943914470e-01,-1.257861121716564654e-02,-7.911285824593090876e-02,-6.288973554202025085e+00,5.915559058113588902e-06
3.000000000000000062e-03,9.988219966580696996e-01,-1.886729422984895557e-02,-1.186653598187193404e-01,-6.288350969081718311e+00,8.873338587163465211e-06
4.000000000000000083e-03,9.986835569457191975e-01,-2.515523015531273207e-02,-1.582131485091340384e-01,-6.287479384737746813e+00,1.183111811620503806e-05
5.000000000000000104e-03,9.985055724555731427e-01,-3.144217001091570429e-02,-1.977546536527733934e-01,-6.286358835992837513e+00,1.478889764523554018e-05
6.000000000000000125e-03,9.982880502564072112e-01,-3.772786485381290911e-02,-2.372883048392675776e-01,-6.284989367616598877e+00,1.774667717425220518e-05
7.000000000000000146e-03,9.980309989872541143e-01,-4.401206579090167353e-02,-2.768125319757659408e-01,-6.283371034323669058e+00,2.070445670325226324e-05
8.000000000000000167e-03,9.977344288570542119e-01,-5.029452398876554930e-02,-3.163257653504105149e-01,-6.281503900771449267e+00,2.366223623223294797e-05
9.000000000000001055e-03,9.973983516442427311e-01,-5.657499068361578065e-02,-3.558264356957932528e-01,-6.279388041557431244e+00,2.662001576119149126e-05
1.000000000000000194e-02,9.970227806962737027e-01,-6.285321719122988204e-02,-3.953129742523939782e-01,-6.277023541216110836e+00,2.957779529012512500e-05
1.100000000000000283e-02,9.966077309290801711e-01,-6.912895491688690608e-02,-4.347838128319962969e-01,-6.274410494215489464e+00,3.253557481903108448e-05
1.200000000000000372e-02,9.961532188264714538e-01,-7.540195536529907538e-02,-4.742373838810788889e-01,-6.271549004953167916e+00,3.549335434790660160e-05
1.300000000000000461e-02,9.956592624394666746e-01,-8.167197015053920262e-02,-5.136721205441793225e-01,-6.268439187752024466e+00,3.845113387674890825e-05
1.400000000000000550e-02,9.951258813855649032e-01,-8.793875100596369732e-02,-5.530864567272276711e-01,-6.265081166855488881e+00,4.140891340555523294e-05
1.500000000000000638e-02,9.945530968479522338e-01,-9.420204979413052127e-02,-5.924788271608474322e-01,-6.261475076422399866e+00,4.436669293432281096e-05
1.600000000000000727e-02,9.939409315746453588e-01,-1.004616185167118841e-01,-6.318476674636204216e-01,-6.257621060521457501e+00,4.732447246304887758e-05
1.700000000000000816e-02,9.932894098775723046e-01,-1.067172093244011799e-01,-6.711914142053134746e-01,-6.253519273125261790e+00,5.028225199173066133e-05
1.800000000000000905e-02,9.925985576315891068e-01,-1.129685745268137198e-01,-7.105085049700641253e-01,-6.249169878103945308e+00,5.324003152036539070e-05
1.900000000000000994e-02,9.918684022734343131e-01,-1.192154666023808735e-01,-7.497973784195222091e-01,-6.244573049218393734e+00,5.619781104895030775e-05
2.000000000000001082e-02,9.910989728006198707e-01,-1.254576382082373265e-01,-7.890564743559453920e-01,-6.239728970113059603e+00,5.915559057748264100e-05
2.100000000000001171e-02,9.902902997702587307e-01,-1.316948421901008304e-01,-8.282842337852446279e-01,-6.234637834308365711e+00,6.211337010595961217e-05
2.200000000000001260e-02,9.894424152978298359e-01,-1.379268315921442500e-01,-8.674790989799782137e-01,-6.229299845192700857e+00,6.507114963437847011e-05
2.300000000000001349e-02,9.885553530558801594e-01,-1.441533596668592987e-01,-9.066395135422909979e-01,-6.223715216014009677e+00,6.802892916273643655e-05
2.400000000000001438e-02,9.876291482726635707e-01,-1.503741798849118072e-01,-9.457639224667957478e-01,-6.217884169870973032e+00,7.098670869103074676e-05
2.500000000000001527e-02,9.866638377307166419e-01,-1.565890459449877647e-01,-9.848507722033952305e-01,-6.211806939703779840e+00,7.394448821925863604e-05
2.600000000000001615e-02,9.856594597653725032e-01,-1.627977117836301724e-01,-1.023898510720040234e+00,-6.205483768284497437e+00,7.690226774741733967e-05
2.700000000000001704e-02,9.846160542632111934e-01,-1.689999315850658212e-01,-1.062905587565423193e+00,-6.198914908207030727e+00,7.986004727550407938e-05
2.800000000000001793e-02,9.835336626604473942e-01,-1.751954597910220235e-01,-1.101870453931602434e+00,-6.192100621876677202e+00,8.281782680351609045e-05
2.900000000000001882e-02,9.824123279412561027e-01,-1.813840511105325459e-01,-1.140791562716556573e+00,-6.185041181499277840e+00,8.577560633145060818e-05
3.000000000000001971e-02,9.812520946360352436e-01,-1.875654605297326361e-01,-1.179667368586664100e+00,-6.177736869069963888e+00,8.873338585930486784e-05
3.100000000000002059e-02,9.800530088196063305e-01,-1.937394433216424461e-01,-1.218496328039107679e+00,-6.170187976361495963e+00,9.169116538707610471e-05
3.200000000000002148e-02,9.788151181093521780e-01,-1.999057550559386887e-01,-1.257276899464198294e+00,-6.162394804912203483e+00,9.464894491476154054e-05
3.300000000000002237e-02,9.775384716632928850e-01,-2.060641516087140523e-01,-1.296007543207619017e+00,-6.154357666013519079e+00,9.760672444235841060e-05
3.400000000000002326e-02,9.762231201780992018e-01,-2.122143891722238496e-01,-1.334686721632582840e+00,-6.146076880697109779e+00,1.005645039698639502e-04
3.500000000000002415e-02,9.748691158870440576e-01,-2.183562242646196472e-01,-1.373312899181904578e+00,-6.137552779721609397e+00,1.035222834972753946e-04
3.600000000000002504e-02,9.734765125578920264e-01,-2.244894137396694633e-01,-1.411884542439982404e+00,-6.128785703558945919e+00,1.064800630245899655e-04
3.700000000000002592e-02,9.720453654907265095e-01,-2.306137147964640310e-01,-1.450400120194687448e+00,-6.119776002380270974e+00,1.094378425518049118e-04
3.800000000000002681e-02,9.705757315157157450e-01,-2.367288849891088509e-01,-1.488858103499157703e+00,-6.110524036041489637e+00,1.123956220789174552e-04
3.900000000000002770e-02,9.690676689908163111e-01,-2.428346822364015334e-01,-1.527256965733494454e+00,-6.101030174068387879e+00,1.153534016059248310e-04
4.000000000000002859e-02,9.675212377994155677e-01,-2.489308648314940420e-01,-1.565595182666359220e+00,-6.091294795641363891e+00,1.183111811328242609e-04
4.100000000000002948e-02,9.659364993479124806e-01,-2.550171914515395599e-01,-1.603871232516465906e+00,-6.081318289579762393e+00,1.212689606596129938e-04
4.200000000000003036e-02,9.643135165632364947e-01,-2.610934211673233696e-01,-1.642083596013968583e+00,-6.071101054325808377e+00,1.242267401862882513e-04
4.300000000000003125e-02,9.626523538903057897e-01,-2.671593134528776337e-01,-1.680230756461740915e+00,-6.060643497928149159e+00,1.271845197128472688e-04
4.400000000000003214e-02,9.609530772894236961e-01,-2.732146281950793565e-01,-1.718311199796543676e+00,-6.049946038024995865e+00,1.301422992392872681e-04
4.500000000000003303e-02,9.592157542336144926e-01,-2.792591257032313035e-01,-1.756323414650079906e+00,-6.039009101826873227e+00,1.331000787656055114e-04
4.600000000000003392e-02,9.574404537058978093e-01,-2.852925667186256287e-01,-1.794265892409933727e+00,-6.027833126098975924e+00,1.360578582917992070e-04
4.700000000000003481e-02,9.556272461965025222e-01,-2.913147124240895725e-01,-1.832137127280389022e+00,-6.016418557143128787e+00,1.390156378178655902e-04
4.800000000000003569e-02,9.537762037000193649e-01,-2.973253244535127293e-01,-1.869935616343129103e+00,-6.004765850779357095e+00,1.419734173438018962e-04
4.900000000000003658e-02,9.518873997124936981e-01,-3.033241649013561081e-01,-1.907659859617810039e+00,-5.992875472327063413e+00,1.449311968696053604e-04
5.000000000000003747e-02,9.499609092284568845e-01,-3.093109963321417077e-01,-1.945308360122508962e+00,-5.980747896585817180e+00,1.478889763952732179e-04
