tau,x,y,u,v,theta1
0.000000000000000000e+00,9.999000000000000110e-01,-0.000000000000000000e+00,0.000000000000000000e+00,-6.283813657129372565e+00,0.000000000000000000e+00
1.000000000000000021e-03,9.998802569092011261e-01,-6.283772298885063369e-03,-3.948605161508685762e-02,-6.283689582804953488e+00,1.236231038538044281e-06
2.000000000000000042e-03,9.998210284166965112e-01,-1.256729645075600407e-02,-7.897054345273052389e-02,-6.283317364735825805e+00,2.472462077075886545e-06
3.000000000000000062e-03,9.997223168621293121e-01,-1.885032431840688236e-02,-1.184519157972131476e-01,-6.282697017634168546e+00,3.708693115613324985e-06
4.000000000000000083e-03,9.995841261448015214e-01,-2.513260778424774439e-02,-1.579286090562650458e-01,-6.281828566019632909e+00,4.944924154150156950e-06
5.000000000000000104e-03,9.994064617235202119e-01,-3.141389876011163595e-02,-1.973990638227826888e-01,-6.280712044218367929e+00,6.181155192686180846e-06
6.000000000000000125e-03,9.991893306163812660e-01,-3.769394919706044178e-02,-2.368617209365392051e-01,-6.279347496361658898e+00,7.417386231221194231e-06
7.000000000000000146e-03,9.989327414004913752e-01,-4.397251109518919565e-02,-2.763150215458851644e-01,-6.277734976384179433e+00,8.653617269754995512e-06
8.000000000000000167e-03,9.986367042116292003e-01,-5.024933651342841645e-02,-3.157574071694370099e-01,-6.275874548021847410e+00,9.889848308287381402e-06
9.000000000000001055e-03,9.983012307438438038e-01,-5.652417757934412312e-02,-3.551873197577506414e-01,-6.273766284809300764e+00,1.112607934681815115e-05
1.000000000000000194e-02,9.979263342489920197e-01,-6.279678649893515041e-02,-3.946032017549779836e-01,-6.271410270076978932e+00,1.236231038534710317e-05
1.100000000000000283e-02,9.975120295362140954e-01,-6.906691556642728658e-02,-4.340034961605036545e-01,-6.268806596947817056e+00,1.359854142387403417e-05
1.200000000000000372e-02,9.970583329713474940e-01,-7.533431717406401107e-02,-4.733866465905596232e-01,-6.265955368333552045e+00,1.483477246239874255e-05
1.300000000000000461e-02,9.965652624762795231e-01,-8.159874382189322151e-02,-5.127510973398153871e-01,-6.262856696930640510e+00,1.607100350092102503e-05
1.400000000000000550e-02,9.960328375282379021e-01,-8.785994812754981120e-02,-5.520952934429408376e-01,-6.259510705215789450e+00,1.730723453944068001e-05
1.500000000000000638e-02,9.954610791590200458e-01,-9.411768283603350049e-02,-5.914176807361399835e-01,-6.255917525441095250e+00,1.854346557795750591e-05
1.600000000000000727e-02,9.948500099541606190e-01,-1.003717008294816027e-01,-6.307167059186522540e-01,-6.252077299628800766e+00,1.977969661647130281e-05
1.700000000000000816e-02,9.941996540520381398e-01,-1.066217551369364469e-01,-6.699908166142198862e-01,-6.247990179565658941e+00,2.101592765498186405e-05
1.800000000000000905e-02,9.935100371429194110e-01,-1.128675989441068478e-01,-7.092384614325181191e-01,-6.243656326796912737e+00,2.225215869348898972e-05
