tau,x,y,u,v,theta1
0.000000000000000000e+00,9.712000000000000632e-01,-0.000000000000000000e+00,0.000000000000000000e+00,-6.466823521431069643e+00,0.000000000000000000e+00
1.000000000000000021e-03,9.711790729207554485e-01,-6.466777072650447232e-03,-4.185399518958809323e-02,-6.466684175654518363e+00,1.044252361586210100e-05
2.000000000000000042e-03,9.711162926628120751e-01,-1.293327545626845113e-02,-8.370603081125263523e-02,-6.466266145886806704e+00,2.088504723160240545e-05
3.000000000000000062e-03,9.710116621654715230e-01,-1.939921647694520593e-02,-1.255541474314442185e-01,-6.465569454813027583e+00,3.132757084709913032e-05
4.000000000000000083e-03,9.708651863273455307e-01,-2.586432149101774991e-02,-1.673963858853439457e-01,-6.464594140239304565e+00,4.177009446223046551e-05
5.000000000000000104e-03,9.706768720060205968e-01,-3.232831190018834594e-02,-2.092307874111839772e-01,-6.463340255089241815e+00,5.221261807687462800e-05
6.000000000000000125e-03,9.704467280175872457e-01,-3.879090916663958943e-02,-2.510553937845146910e-01,-6.461807867398960070e+00,6.265514169090982124e-05
7.000000000000000146e-03,9.701747651360361768e-01,-4.525183482814384983e-02,-2.928682474524004764e-01,-6.459997060310710637e+00,7.309766530421424866e-05
8.000000000000000167e-03,9.698609960925190787e-01,-5.171081051316562399e-02,-3.346673916675261262e-01,-6.457907932065077183e+00,8.354018891666612726e-05
9.000000000000001055e-03,9.695054355744764374e-01,-5.816755795595537903e-02,-3.764508706221967871e-01,-6.455540595991759112e+00,9.398271252814364692e-05
1.000000000000000194e-02,9.691081002246308973e-01,-6.462179901163346563e-02,-4.182167295822127318e-01,-6.452895180498944505e+00,1.044252361385250246e-04
1.100000000000000283e-02,9.686690086398467292e-01,-7.107325567126271393e-02,-4.599630150206019397e-01,-6.449971829061271755e+00,1.148677597476884638e-04
1.200000000000000372e-02,9.681881813698559602e-01,-7.752165007690826892e-02,-5.016877747511926389e-01,-6.446770700206380766e+00,1.253102833555121815e-04
1.300000000000000461e-02,9.676656409158507222e-01,-8.396670453668329814e-02,-5.433890580620077682e-01,-6.443291967500058171e+00,1.357528069618743811e-04
1.400000000000000550e-02,9.671014117289427059e-01,-9.040814153977910772e-02,-5.850649158484644285e-01,-6.439535819529979221e+00,1.461953305666532389e-04
1.500000000000000638e-02,9.664955202084888342e-01,-9.684568377147829976e-02,-6.267134007463602829e-01,-6.435502459888048143e+00,1.566378541697269991e-04
1.600000000000000727e-02,9.658479947002848176e-01,-1.032790541281496527e-01,-6.683325672646293070e-01,-6.431192107151344040e+00,1.670803777709738516e-04
1.700000000000000816e-02,9.651588654946257062e-01,-1.097079757322231147e-01,-7.099204719178497935e-01,-6.426604994861667031e+00,1.775229013702719861e-04
1.800000000000000905e-02,9.644281648242338800e-01,-1.161321719471437725e-01,-7.514751733584872362e-01,-6.421741371503698836e+00,1.879654249674996198e-04
1.900000000000000994e-02,9.636559268620554786e-01,-1.225513663923031987e-01,-7.929947325088542165e-01,-6.416601500481776021e+00,1.984079485625349696e-04
2.000000000000001082e-02,9.628421877189244915e-01,-1.289652829579469584e-01,-8.344772126927705314e-01,-6.411185660095279459e+00,2.088504721552562524e-04
2.100000000000001171e-02,9.619869854410955101e-01,-1.353736458200567316e-01,-8.759206797669063516e-01,-6.405494143512648009e+00,2.192929957455416582e-04
2.200000000000001260e-02,9.610903600076455833e-01,-1.417761794552058197e-01,-9.173232022517909812e-01,-6.399527258744019065e+00,2.297355193332693770e-04
2.300000000000001349e-02,9.601523533277446232e-01,-1.481726086553865895e-01,-9.586828514624705644e-01,-6.393285328612500429e+00,2.401780429183176255e-04
2.400000000000001438e-02,9.591730092377961370e-01,-1.545626585428085398e-01,-9.999977016387974205e-01,-6.386768690724079711e+00,2.506205665005646209e-04
2.500000000000001527e-02,9.581523734984470630e-01,-1.609460545846655710e-01,-1.041265830075334575e+00,-6.379977697436178374e+00,2.610630900798885531e-04
2.600000000000001615e-02,9.570904937914687105e-01,-1.673225226078710604e-01,-1.082485317250857948e+00,-6.372912715824853080e+00,2.715056136561676660e-04
2.700000000000001704e-02,9.559874197165073584e-01,-1.736917888137596011e-01,-1.123654246957440428e+00,-6.365574127650648784e+00,2.819481372292801497e-04
2.800000000000001793e-02,9.548432027877071793e-01,-1.800535797927538817e-01,-1.164770706429101521e+00,-6.357962329323119555e+00,2.923906607991041940e-04
2.900000000000001882e-02,9.536578964302038219e-01,-1.864076225389953434e-01,-1.205832786470003581e+00,-6.350077731864009145e+00,3.028331843655179888e-04
3.000000000000001971e-02,9.524315559764905403e-01,-1.927536444649374237e-01,-1.246838581582182304e+00,-6.341920760869109941e+00,3.132757079283997781e-04
3.100000000000002059e-02,9.511642386626565360e-01,-1.990913734158999693e-01,-1.287786190092791827e+00,-6.333491856468800307e+00,3.237182314876277519e-04
3.200000000000002148e-02,9.498560036244984017e-01,-2.054205376845836262e-01,-1.328673714280849349e+00,-6.324791473287272758e+00,3.341607550430801001e-04
