tau,x,y,u,v,theta1
0.000000000000000000e+00,9.953000000000000735e-01,-0.000000000000000000e+00,0.000000000000000000e+00,-6.312786003229795107e+00,0.000000000000000000e+00
1.000000000000000021e-03,9.952800739944551722e-01,-6.312743875552088296e-03,-3.985187624052121541e-02,-6.312659620627306012e+00,8.976688616920291090e-07
2.000000000000000042e-03,9.952202967869117067e-01,-1.262523498765735080e-02,-7.970213430607925309e-02,-6.312280478094278280e+00,1.795337723383980715e-06
3.000000000000000062e-03,9.951206708046054228e-01,-1.893722058341774581e-02,-1.195491560928723107e-01,-6.311648591453761448e+00,2.693006585075777631e-06
4.000000000000000083e-03,9.949812000928107691e-01,-2.524844793103229665e-02,-1.593913236394173816e-01,-6.310763987076652981e+00,3.590675446767342671e-06
5.000000000000000104e-03,9.948018903146625957e-01,-3.155866433034433538e-02,-1.992270191976994731e-01,-6.309626701880425514e+00,4.488344308458598122e-06
6.000000000000000125e-03,9.945827487509076859e-01,-3.786761712338723718e-02,-2.390546253043089875e-01,-6.308236783327339836e+00,5.386013170149467325e-06
7.000000000000000146e-03,9.943237842995841236e-01,-4.417505370492809391e-02,-2.788725248515626642e-01,-6.306594289422151611e+00,6.283682031839871507e-06
8.000000000000000167e-03,9.940250074756301624e-01,-5.048072153300884463e-02,-3.186791011586047051e-01,-6.304699288709304739e+00,7.181350893529734435e-06
9.000000000000001055e-03,9.936864304104220391e-01,-5.678436813948437023e-02,-3.584727380424836407e-01,-6.302551860269618444e+00,8.079019755218979029e-06
1.000000000000000194e-02,9.933080668512401790e-01,-6.308574114055698345e-02,-3.982518198892008310e-01,-6.300152093716465451e+00,8.976688616907526515e-06
1.100000000000000283e-02,9.928899321606651229e-01,-6.938458824730685259e-02,-4.380147317247270466e-01,-6.297500089191438555e+00,9.874357478595299813e-06
1.200000000000000372e-02,9.924320433159017352e-01,-7.568065727621785255e-02,-4.777598592859826909e-01,-6.294595957359508276e+00,1.077202634028222269e-05
1.300000000000000461e-02,9.919344189080330221e-01,-8.197369615969832268e-02,-5.174855890917778867e-01,-6.291439819403676914e+00,1.166969520196821722e-05
1.400000000000000550e-02,9.913970791412027861e-01,-8.826345295659621115e-02,-5.571903085137083211e-01,-6.288031807019119235e+00,1.256736406365320547e-05
1.500000000000000638e-02,9.908200458317270032e-01,-9.454967586270807134e-02,-5.968724058470028515e-01,-6.284372062406818671e+00,1.346503292533711122e-05
1.600000000000000727e-02,9.902033424071354784e-01,-1.008321132212815080e-01,-6.365302703813187080e-01,-6.280460738266696374e+00,1.436270178701985653e-05
1.700000000000000816e-02,9.895469939051413366e-01,-1.071105135335104763e-01,-6.761622924714807414e-01,-6.276297997790233119e+00,1.526037064870136348e-05
1.800000000000000905e-02,9.888510269725410140e-01,-1.133846254690229066e-01,-7.157668636081605529e-01,-6.271884014652583161e+00,1.615803951038155583e-05
1.900000000000000994e-02,9.881154698640429723e-01,-1.196541978763602659e-01,-7.553423764884910074e-01,-6.267218973004188065e+00,1.705570837206035566e-05
