tau,x,y,u,v,theta1
0.000000000000000000e+00,9.714000000000000412e-01,-0.000000000000000000e+00,0.000000000000000000e+00,-6.465529220053809034e+00,0.000000000000000000e+00
1.000000000000000021e-03,9.713790839185395543e-01,-6.465482806541997945e-03,-4.183199986273133247e-02,-6.465389980082746568e+00,5.195268392238366499e-05
2.000000000000000042e-03,9.713163366524999454e-01,-1.293068713565760294e-02,-8.366204305506177996e-02,-6.464972267716719401e+00,1.039053678297693445e-04
3.000000000000000062e-03,9.712117611368363823e-01,-1.939533452501449387e-02,-1.254881730406955942e-01,-6.464276105596474586e+00,1.558580517071590462e-04
4.000000000000000083e-03,9.710653622629176196e-01,-2.585914654246707425e-02,-1.673084335515295784e-01,-6.463301531454225923e+00,2.078107355395548050e-04
5.000000000000000104e-03,9.708771468781906000e-01,-3.232184480114626973e-02,-2.091208687217044615e-01,-6.462048598110106568e+00,2.597634193119586219e-04
6.000000000000000125e-03,9.706471237857109413e-01,-3.878315097454508587e-02,-2.509235232216026623e-01,-6.460517373467203228e+00,3.117161030093724841e-04
7.000000000000000146e-03,9.703753037435400852e-01,-4.524278681159850379e-02,-2.927144423917744653e-01,-6.458707940505175493e+00,3.636687866167984877e-04
8.000000000000000167e-03,9.700616994640081092e-01,-5.170047415175624272e-02,-3.344916723767746847e-01,-6.456620397272456735e+00,4.156214701192385928e-04
9.000000000000001055e-03,9.697063256128426456e-01,-5.815593494004708125e-02,-3.762532602588918307e-01,-6.454254856877041036e+00,4.675741535016948139e-04
1.000000000000000194e-02,9.693091988081646848e-01,-6.460889124213319012e-02,-4.179972541917525430e-01,-6.451611447475859684e+00,5.195268367491691656e-04
1.100000000000000283e-02,9.688703376193501526e-01,-7.105906525935318241e-02,-4.597217035337826663e-01,-6.448690312262743696e+00,5.714795198466637166e-04
1.200000000000000372e-02,9.683897625657588160e-01,-7.750617934375242379e-02,-5.014246589815077870e-01,-6.445491609454981230e+00,6.234322027791804272e-04
1.300000000000000461e-02,9.678674961153291845e-01,-8.394995601309916677e-02,-5.431041727026756361e-01,-6.442015512278465472e+00,6.753848855317213119e-04
1.400000000000000550e-02,9.673035626830409628e-01,-9.039011796588512782e-02,-5.847582984691815922e-01,-6.438262208951443633e+00,7.273375680892884936e-04
