tau,x,y,u,v,theta1
0.000000000000000000e+00,9.987999999999999101e-01,-0.000000000000000000e+00,0.000000000000000000e+00,-6.290729658875187091e+00,0.000000000000000000e+00
1.000000000000000021e-03,9.987802133975619556e-01,-6.290688118166343906e-03,-3.957307374477585932e-02,-6.290605037162358748e+00,5.700262035188727101e-07
2.000000000000000042e-03,9.987208543770309532e-01,-1.258112699457068079e-02,-7.914457393046808731e-02,-6.290231177014809383e+00,1.140052407037729115e-06
3.000000000000000062e-03,9.986219252987217354e-01,-1.887106739743280026e-02,-1.187129270619080579e-01,-6.289608093405123945e+00,1.710078610556552379e-06
4.000000000000000083e-03,9.984834300963854048e-01,-2.516026011493565848e-02,-1.582765597717544770e-01,-6.288735811286916721e+00,2.280104814075326516e-06
5.000000000000000104e-03,9.983053742770500172e-01,-3.144845596520592923e-02,-1.978338988843999502e-01,-6.287614365593788612e+00,2.850131017594035431e-06
6.000000000000000125e-03,9.980877649207968716e-01,-3.773540580629328178e-02,-2.373833714798691541e-01,-6.286243801237867856e+00,3.420157221112662184e-06
7.000000000000000146e-03,9.978306106804725184e-01,-4.402086054614803151e-02,-2.769234049577058432e-01,-6.284624173107937750e+00,3.990183424631190681e-06
8.000000000000000167e-03,9.975339217813377068e-01,-5.030457115259664297e-02,-3.164524271008456457e-01,-6.282755546067143371e+00,4.560209628149604405e-06
9.000000000000001055e-03,9.971977100206520506e-01,-5.658628866331481128e-02,-3.559688661394722620e-01,-6.280637994950282632e+00,5.130235831667886839e-06
1.000000000000000194e-02,9.968219887671946333e-01,-6.286576419579756325e-02,-3.954711508148536780e-01,-6.278271604560683450e+00,5.700262035186021889e-06
1.100000000000000283e-02,9.964067729607212209e-01,-6.914274895732606951e-02,-4.349577104431561203e-01,-6.275656469666664350e+00,6.270288238703992615e-06
1.200000000000000372e-02,9.959520791113574134e-01,-7.541699425493068876e-02,-4.744269749792326962e-01,-6.272792694997575857e+00,6.840314442221783770e-06
