tau,x,y,u,v,theta1
0.000000000000000000e+00,9.986999999999999211e-01,-0.000000000000000000e+00,0.000000000000000000e+00,-6.291358764279322280e+00,0.000000000000000000e+00
1.000000000000000021e-03,9.986802094347173586e-01,-6.291317206935547086e-03,-3.958099932903536705e-02,-6.291234092662176813e+00,3.178699658794949082e-07
2.000000000000000042e-03,9.986208385262819176e-01,-1.258238507230310076e-02,-7.916042384047014546e-02,-6.290860082809621723e+00,6.357399317589869577e-07
3.000000000000000062e-03,9.985218896368960317e-01,-1.887295426453235517e-02,-1.187366987808198965e-01,-6.290236749718075338e+00,9.536098976384732897e-07
4.000000000000000083e-03,9.983833667034567316e-01,-2.516277547204795115e-02,-1.583082495248296084e-01,-6.289364118380869506e+00,1.271479863517951045e-06
5.000000000000000104e-03,9.982052752373955506e-01,-3.145159941326589048e-02,-1.978735016395813395e-01,-6.288242223787201546e+00,1.589349829397417472e-06
6.000000000000000125e-03,9.979876223244540379e-01,-3.773917684658872895e-02,-2.374308809485932703e-01,-6.286871110920666084e+00,1.907219795276869711e-06
7.000000000000000146e-03,9.977304166243952110e-01,-4.402525858039902512e-02,-2.769788135959074804e-01,-6.285250834757369454e+00,2.225089761156304798e-06
8.000000000000000167e-03,9.974336683706512829e-01,-5.030959548305077161e-02,-3.165157261101634312e-01,-6.283381460263623985e+00,2.542959727035719979e-06
9.000000000000001055e-03,9.970973893699066615e-01,-5.659193849285825556e-02,-3.560400454686543092e-01,-6.281263062393222185e+00,2.860829692915112714e-06
1.000000000000000194e-02,9.967215930016174452e-01,-6.287203862808199428e-02,-3.955501991613636914e-01,-6.278895726084296136e+00,3.178699658794479614e-06
1.100000000000000283e-02,9.963062942174668590e-01,-6.914964699691136807e-02,-4.350446152549792833e-01,-6.276279546255752351e+00,3.496569624673818139e-06
1.200000000000000372e-02,9.958515095407564077e-01,-7.542451480744337411e-02,-4.745217224568813452e-01,-6.273414627803293619e+00,3.814439590553125323e-06
1.300000000000000461e-02,9.953572570657330809e-01,-8.169639337765731424e-02,-5.139799501791022518e-01,-6.270301085595019863e+00,4.132309556432398203e-06
1.400000000000000550e-02,9.948235564568530531e-01,-8.796503414538479892e-02,-5.534177286022553544e-01,-6.266939044466611541e+00,4.450179522311634660e-06
1.500000000000000638e-02,9.942504289479808799e-01,-9.423018867827474832e-02,-5.928334887394292041e-01,-6.263328639216093841e+00,4.768049488190831307e-06
1.600000000000000727e-02,9.936378973415250782e-01,-1.004916086837529254e-01,-6.322256625000455266e-01,-6.259470014598186083e+00,5.085919454069984755e-06
