tau,x,y,u,v,theta1
0.000000000000000000e+00,9.985999999999999321e-01,-0.000000000000000000e+00,0.000000000000000000e+00,-6.291987932760833679e+00,0.000000000000000000e+00
1.000000000000000021e-03,9.985802054796640848e-01,-6.291946358764771013e-03,-3.958890933046473048e-02,-6.291863211187297189e+00,3.047613679711610606e-06
2.000000000000000042e-03,9.985208227066990627e-01,-1.258364327605142330e-02,-7.917624258315626717e-02,-6.291489051473545757e+00,6.095227359420715688e-06
3.000000000000000062e-03,9.984218540451974544e-01,-1.887484132039548429e-02,-1.187604237446200778e-01,-6.290865468639926128e+00,9.142841039124811417e-06
4.000000000000000083e-03,9.982833034352062151e-01,-2.516529108035932272e-02,-1.583398769300361220e-01,-6.289992487719644920e+00,1.219045471882139058e-05
5.000000000000000104e-03,9.981051763925661291e-01,-3.145474317454452495e-02,-1.979130264475289502e-01,-6.288870143757715248e+00,1.523806839850794934e-05
6.000000000000000125e-03,9.978874800086865449e-01,-3.774294826160299460e-02,-2.374782968624690183e-01,-6.287498481809479678e+00,1.828568207818198217e-05
7.000000000000000146e-03,9.976302229502560515e-01,-4.402965705024637633e-02,-2.770341130617627323e-01,-6.285877556938713973e+00,2.133329575784098187e-05
8.000000000000000167e-03,9.973334154588887612e-01,-5.031462030925334949e-02,-3.165789003181278538e-01,-6.284007434215303611e+00,2.438090943748244798e-05
9.000000000000001055e-03,9.969970693507063109e-01,-5.659758887747440986e-02,-3.561110843543520144e-01,-6.281888188712506427e+00,2.742852311710387329e-05
1.000000000000000194e-02,9.966211980158559136e-01,-6.287831367383370229e-02,-3.956290914075306087e-01,-6.279519905503787136e+00,3.047613679670275059e-05
1.100000000000000283e-02,9.962058164179636854e-01,-6.915654570732746032e-02,-4.351313482932821497e-01,-6.276902679659234430e+00,3.352375047627657943e-05
1.200000000000000372e-02,9.957509410935241334e-01,-7.543203608701866403e-02,-4.746162824699374227e-01,-6.274036616241557063e+00,3.657136415582284581e-05
1.300000000000000461e-02,9.952565901512252511e-01,-8.170453603202748605e-02,-5.140823221027001066e-01,-6.270921830301656286e+00,3.961897783533905270e-05
1.400000000000000550e-02,9.947227832712098872e-01,-8.797379688151710231e-02,-5.535278961277757537e-01,-6.267558446873781719e+00,4.266659151482269285e-05
1.500000000000000638e-02,9.941495417042721661e-01,-9.423957010467443052e-02,-5.929514343164661305e-01,-6.263946600970260903e+00,4.571420519427125907e-05
1.600000000000000727e-02,9.935368882709909588e-01,-1.005016073106854008e-01,-6.323513673392265888e-01,-6.260086437575816731e+00,4.876181887368225091e-05
1.700000000000000816e-02,9.928848473607982950e-01,-1.067596602587043420e-01,-6.717261268296828014e-01,-6.255978111641457673e+00,5.180943255305316115e-05
1.800000000000000905e-02,9.921934449309843806e-01,-1.130134808678170399e-01,-7.110741454486045887e-01,-6.251621788077954101e+00,5.485704623238148257e-05
1.900000000000000994e-02,9.914627085056383349e-01,-1.192628212269970372e-01,-7.503938569478342258e-01,-6.247017641748890071e+00,5.790465991166471473e-05
2.000000000000001082e-02,9.906926671745254209e-01,-1.255074336050548134e-01,-7.896836962341652333e-01,-6.242165857463302103e+00,6.095227359090034364e-05
2.100000000000001171e-02,9.898833515918998849e-01,-1.317470704605794019e-01,-8.289420994331702097e-01,-6.237066629967892517e+00,6.399988727008587563e-05
2.200000000000001260e-02,9.890347939752546225e-01,-1.379814844518719719e-01,-8.681675039529740401e-01,-6.231720163938833323e+00,6.704750094921878994e-05
2.300000000000001349e-02,9.881470281040064529e-01,-1.442104284468710418e-01,-9.073583485479694843e-01,-6.226126673973142900e+00,7.009511462829659968e-05
2.400000000000001438e-02,9.872200893181182213e-01,-1.504336555330687553e-01,-9.465130733824729248e-01,-6.220286384579654104e+00,7.314272830731678406e-05
2.500000000000001527e-02,9.862540145166568406e-01,-1.566509190274181507e-01,-9.856301200943171636e-01,-6.214199530169558727e+00,7.619034198627684944e-05
2.600000000000001615e-02,9.852488421562882737e-01,-1.628619724862305218e-01,-1.024707931858378052e+00,-6.207866355046540718e+00,7.923795566517428859e-05
2.700000000000001704e-02,9.842046122497086769e-01,-1.690665697150627866e-01,-1.063744953450032948e+00,-6.201287113396489303e+00,8.228556934400659429e-05
2.800000000000001793e-02,9.831213663640121503e-01,-1.752644647785944754e-01,-1.102739631308547130e+00,-6.194462069276799987e+00,8.533318302277125933e-05
2.900000000000001882e-02,9.819991476189950941e-01,-1.814554120104936163e-01,-1.141690413600386700e+00,-6.187391496605259000e+00,8.838079670146577649e-05
3.000000000000001971e-02,9.808380006853976152e-01,-1.876391660232714087e-01,-1.180595750282453338e+00,-6.180075679148514745e+00,9.142841038008763855e-05
3.100000000000002059e-02,9.796379717830813183e-01,-1.938154817181252376e-01,-1.219454093165240005e+00,-6.172514910510132680e+00,9.447602405863435185e-05
3.200000000000002148e-02,9.783991086791442582e-01,-1.999841142947693107e-01,-1.258263895975903379e+00,-6.164709494118241651e+00,9.752363773710340917e-05
3.300000000000002237e-02,9.771214606859728313e-01,-2.061448192612529984e-01,-1.297023614421251247e+00,-6.156659743212762770e+00,1.005712514154923033e-04
3.400000000000002326e-02,9.758050786592303849e-01,-2.122973524437659909e-01,-1.335731706250641082e+00,-6.148365980832232403e+00,1.036188650937985270e-04
3.500000000000002415e-02,9.744500149957836532e-01,-2.184414699964301876e-01,-1.374386631318787355e+00,-6.139828539800205931e+00,1.066664787720195731e-04
3.600000000000002504e-02,9.730563236315656894e-01,-2.245769284110777086e-01,-1.412986851648475817e+00,-6.131047762711259175e+00,1.097140924501529343e-04
3.700000000000002592e-02,9.716240600393767357e-01,-2.307034845270147794e-01,-1.451530831493180074e+00,-6.122024001916574143e+00,1.127617061281961170e-04
3.800000000000002681e-02,9.701532812266221439e-01,-2.368208955407709870e-01,-1.490017037399578914e+00,-6.112757619509118001e+00,1.158093198061466004e-04
3.900000000000002770e-02,9.686440457329880127e-01,-2.429289190158334111e-01,-1.528443938269972158e+00,-6.103248987308414364e+00,1.188569334840018909e-04
4.000000000000002859e-02,9.670964136280543189e-01,-2.490273128923654600e-01,-1.566810005424590369e+00,-6.093498486844906026e+00,1.219045471617594812e-04
4.100000000000002948e-02,9.655104465088458765e-01,-2.551158354969097486e-01,-1.605113712663797321e+00,-6.083506509343909130e+00,1.249521608394168776e-04
