tau,x,y,u,v,theta1
0.000000000000000000e+00,9.988999999999998991e-01,-0.000000000000000000e+00,0.000000000000000000e+00,-6.290100616529508137e+00,0.000000000000000000e+00
1.000000000000000021e-03,9.988802173623823055e-01,-6.290059092444361816e-03,-3.956514420862564801e-02,-6.289976044687294099e+00,1.965935621317396411e-06
2.000000000000000042e-03,9.988208702356841107e-01,-1.257986904286530205e-02,-7.912871611549010531e-02,-6.289602334143658879e+00,3.931871242634120279e-06
3.000000000000000062e-03,9.987219609783338781e-01,-1.886918071920534040e-02,-1.186891434825468605e-01,-6.288979499847405563e+00,5.897806863949499057e-06
4.000000000000000083e-03,9.985834935209401131e-01,-2.515774500933845581e-02,-1.582448541991759994e-01,-6.288107566712514362e+00,7.863742485262860204e-06
5.000000000000000104e-03,9.984054733661316128e-01,-3.144531283103478569e-02,-1.977942763458905295e-01,-6.286986569617107001e+00,9.829678106573531174e-06
6.000000000000000125e-03,9.981879075883344221e-01,-3.773163514192406920e-02,-2.373358382580344483e-01,-6.285616553401998985e+00,1.179561372788084112e-05
7.000000000000000146e-03,9.979308048334853964e-01,-4.401646294945744942e-02,-2.768679685894696041e-01,-6.283997572868834425e+00,1.376154934918411579e-05
8.000000000000000167e-03,9.976341753186817041e-01,-5.029954732086720087e-02,-3.163890963762487907e-01,-6.282129692777808749e+00,1.572748497048268436e-05
9.000000000000001055e-03,9.972980308317669351e-01,-5.658063939312396595e-02,-3.558976511002719390e-01,-6.280012987844978412e+00,1.769342059177587257e-05
1.000000000000000194e-02,9.969223847308531505e-01,-6.285949038289108393e-02,-3.953920627529231568e-01,-6.277647542739154041e+00,1.965935621306300957e-05
1.100000000000000283e-02,9.965072519437799814e-01,-6.913585159647564482e-02,-4.348707618986854540e-01,-6.275033452078382368e+00,2.162529183434342114e-05
1.200000000000000372e-02,9.960526489675093353e-01,-7.540947443977577547e-02,-4.743321797387303196e-01,-6.272170820426014259e+00,2.359122745561643641e-05
1.300000000000000461e-02,9.955585938674572644e-01,-8.168011042822383161e-02,-5.137747481744796563e-01,-6.269059762286359749e+00,2.555716307688138115e-05
1.400000000000000550e-02,9.950251062767617727e-01,-8.794751119672496176e-02,-5.531968998711374041e-01,-6.265700402099928290e+00,2.752309869813758452e-05
1.500000000000000638e-02,9.944522073954873420e-01,-9.421142850959081383e-02,-5.925970683211875256e-01,-6.262092874238258666e+00,2.948903431938437226e-05
1.600000000000000727e-02,9.938399199897658409e-01,-1.004716142704677601e-01,-6.319736879078557967e-01,-6.258237322998335905e+00,3.145496994062107354e-05
1.700000000000000816e-02,9.931882683908740406e-01,-1.067278205322594042e-01,-6.713251939685335179e-01,-6.254133902596593408e+00,3.342090556184701411e-05
1.800000000000000905e-02,9.924972784942478476e-01,-1.129797995070428718e-01,-7.106500228581588141e-01,-6.249782777162506520e+00,3.538684118306152312e-05
1.900000000000000994e-02,9.917669777584332547e-01,-1.192273035759784383e-01,-7.499466120125539703e-01,-6.245184120731773092e+00,3.735277680426392973e-05
2.000000000000001082e-02,9.909973952039733414e-01,-1.254700852992121918e-01,-7.892134000117155823e-01,-6.240338117239079274e+00,3.931871242545356308e-05
2.100000000000001171e-02,9.901885614122329926e-01,-1.317078974257712698e-01,-8.284488266430549697e-01,-6.235244960510462064e+00,4.128464804662974555e-05
2.200000000000001260e-02,9.893405085241594454e-01,-1.379404929034511174e-01,-8.676513329645856309e-01,-6.229904854255254421e+00,4.325058366779180628e-05
2.300000000000001349e-02,9.884532702389805525e-01,-1.441676248886947231e-01,-9.068193613680557430e-01,-6.224318012057620031e+00,4.521651928893907443e-05
2.400000000000001438e-02,9.875268818128389858e-01,-1.503890467564629463e-01,-9.459513556420223734e-01,-6.218484657367685742e+00,4.718245491007087237e-05
2.500000000000001527e-02,9.865613800573643788e-01,-1.566045121100958781e-01,-9.850457610348646309e-01,-6.212405023492253875e+00,4.914839053118652925e-05
2.600000000000001615e-02,9.855568033381818527e-01,-1.628137747911647670e-01,-1.024101024317733533e+00,-6.206079353585113090e+00,5.111432615228538100e-05
2.700000000000001704e-02,9.845131915733575934e-01,-1.690165888893139234e-01,-1.063115593847435258e+00,-6.199507900636940683e+00,5.308026177336674321e-05
2.800000000000001793e-02,9.834305862317822555e-01,-1.752127087520924387e-01,-1.102087919629245905e+00,-6.192690927464790995e+00,5.504619739442995181e-05
