tau,x,y,u,v,theta1
0.000000000000000000e+00,9.960999999999999854e-01,-0.000000000000000000e+00,0.000000000000000000e+00,-6.307737700405207093e+00,0.000000000000000000e+00
1.000000000000000021e-03,9.960801059877958386e-01,-6.307695707755875923e-03,-3.978789041748172911e-02,-6.307611722883922134e+00,9.384303911952789017e-07
2.000000000000000042e-03,9.960204247551237566e-01,-1.261513946220540333e-02,-7.957417296156482633e-02,-6.307233795528714992e+00,1.876860782390484323e-06
3.000000000000000062e-03,9.959209587137679565e-01,-1.892207932045943813e-02,-1.193572398283177238e-01,-6.306603933965269526e+00,2.815291173585543738e-06
4.000000000000000083e-03,9.957817118832525960e-01,-2.522826336046276458e-02,-1.591354833527391655e-01,-6.305722164235579186e+00,3.753721564780383770e-06
5.000000000000000104e-03,9.956026898906685796e-01,-3.153343969140981473e-02,-1.989072960782141131e-01,-6.304588522796724881e+00,4.692151955974931577e-06
6.000000000000000125e-03,9.953838999704303081e-01,-3.783735646415897075e-02,-2.386710708259582592e-01,-6.303203056519170566e+00,5.630582347169113888e-06
7.000000000000000146e-03,9.951253509639631512e-01,-4.413976188164486086e-02,-2.784252007644478222e-01,-6.301565822684564999e+00,6.569012738362856590e-06
8.000000000000000167e-03,9.948270533193214193e-01,-5.044040420928826152e-02,-3.181680794788305788e-01,-6.299676888983059442e+00,7.507443129556087683e-06
9.000000000000001055e-03,9.944890190907369476e-01,-5.673903178540305736e-02,-3.578981010403143315e-01,-6.297536333510135975e+00,8.445873520748733477e-06
1.000000000000000194e-02,9.941112619380985116e-01,-6.303539303159975959e-02,-3.976136600755295070e-01,-6.295144244762950869e+00,9.384303911940721974e-06
1.100000000000000283e-02,9.936937971263616332e-01,-6.932923646318518707e-02,-4.373131518358617797e-01,-6.292500721636188565e+00,1.032273430313197863e-05
1.200000000000000372e-02,9.932366415248892189e-01,-7.562031069955768570e-02,-4.769949722667510827e-01,-6.289605873417430715e+00,1.126116469432243061e-05
1.300000000000000461e-02,9.927398136067228096e-01,-8.190836447459752534e-02,-5.166575180769533704e-01,-6.286459819782037606e+00,1.219959508551200506e-05
1.400000000000000550e-02,9.922033334477847744e-01,-8.819314664705189821e-02,-5.562991868077612478e-01,-6.283062690787544646e+00,1.313802547670062745e-05
1.500000000000000638e-02,9.916272227260108929e-01,-9.447440621091411639e-02,-5.959183769021800803e-01,-6.279414626867571236e+00,1.407645586788822662e-05
1.600000000000000727e-02,9.910115047204145489e-01,-1.007518923057964255e-01,-6.355134877740553634e-01,-6.275515778825246471e+00,1.501488625907472804e-05
1.700000000000000816e-02,9.903562043100808676e-01,-1.070253542272960462e-01,-6.750829198771483020e-01,-6.271366307826149011e+00,1.595331665026006055e-05
1.800000000000000905e-02,9.896613479730925755e-01,-1.132945414373538601e-01,-7.146250747741551557e-01,-6.266966385390762007e+00,1.689174704144414792e-05
1.900000000000000994e-02,9.889269637853864703e-01,-1.195592035746053661e-01,-7.541383552056672990e-01,-6.262316193386445740e+00,1.783017743262692070e-05
2.000000000000001082e-02,9.881530814195411683e-01,-1.258190904647233377e-01,-7.936211651590679983e-01,-6.257415924018923548e+00,1.876860782380830435e-05
2.100000000000001171e-02,9.873397321434957963e-01,-1.320739521307517372e-01,-8.330719099373621317e-01,-6.252265779823290792e+00,1.970703821498822432e-05
