tau,x,y,u,v,theta1
0.000000000000000000e+00,9.986999999999999211e-01,-0.000000000000000000e+00,0.000000000000000000e+00,-6.291358764279322280e+00,0.000000000000000000e+00
1.000000000000000021e-03,9.986802095595513906e-01,-6.291317206803770552e-03,-3.958074966018754887e-02,-6.291234092266858369e+00,1.145468028574132763e-05
2.000000000000000042e-03,9.986208390256229306e-01,-1.258238507124901512e-02,-7.915992449293748900e-02,-6.290860081228660583e+00,2.290936057134251535e-05
3.000000000000000062e-03,9.985218907604317407e-01,-1.887295426097551979e-02,-1.187359497349436410e-01,-6.290236746162083392e+00,3.436404085666342834e-05
4.000000000000000083e-03,9.983833687008993873e-01,-2.516277546361926284e-02,-1.583072507511599780e-01,-6.289364112062016510e+00,4.581872114156393177e-05
5.000000000000000104e-03,9.982052783584917099e-01,-3.145159939680945704e-02,-1.978722530989235617e-01,-6.288242213919839507e+00,5.727340142590388913e-05
6.000000000000000125e-03,9.979876268189943334e-01,-3.773917681816435499e-02,-2.374293825920688328e-01,-6.286871096721949215e+00,6.872808170954315373e-05
7.000000000000000146e-03,9.977304227422240102e-01,-4.402525853528534150e-02,-2.769770653650306946e-01,-6.285250815447874118e+00,8.018276199234159244e-05
8.000000000000000167e-03,9.974336763616760138e-01,-5.030959541574894084e-02,-3.165137279369332202e-01,-6.283381435067965093e+00,9.163744227415907212e-05
9.000000000000001055e-03,9.970973994841076937e-01,-5.659193839709633633e-02,-3.560377972756612053e-01,-6.281263030540669590e+00,1.030921225548554597e-04
1.000000000000000194e-02,9.967216054890570831e-01,-6.287203849681989587e-02,-3.955477008619119328e-01,-6.278895686809386589e+00,1.145468028342906084e-04
1.100000000000000283e-02,9.963063093282987781e-01,-6.914964682234642224e-02,-4.350418667532239825e-01,-6.276279498798898793e+00,1.260014831123243851e-04
1.200000000000000372e-02,9.958515275252345367e-01,-7.542451458101652462e-02,-4.745187236479805337e-01,-6.273414571411390916e+00,1.374561633888166567e-04
1.300000000000000461e-02,9.953572781742207054e-01,-8.169639309005988226e-02,-5.139767009493840799e-01,-6.270301019522047881e+00,1.489108436636272766e-04
1.400000000000000550e-02,9.948235809398313645e-01,-8.796503378656587990e-02,-5.534142288293999457e-01,-6.266938967974232000e+00,1.603655239366161115e-04
1.500000000000000638e-02,9.942504570560577459e-01,-9.423018823744919170e-02,-5.928297382926654979e-01,-6.263328551574244507e+00,1.718202042076430285e-04
1.600000000000000727e-02,9.936379293254432588e-01,-1.004916081494098973e-01,-6.322216612403622760e-01,-6.259469915085669633e+00,1.832748844765678942e-04
1.700000000000000816e-02,9.929860221181554536e-01,-1.067490453788878246e-01,-6.715884305340485971e-01,-6.255363213223298580e+00,1.947295647432505485e-04
1.800000000000000905e-02,9.922947613709934833e-01,-1.130022519420104815e-01,-7.109284800594493081e-01,-6.251008610646638708e+00,2.061842450075508583e-04
1.900000000000000994e-02,9.915641745863320589e-01,-1.192509800245343810e-01,-7.502402447901997951e-01,-6.246406281953005291e+00,2.176389252693287175e-04
2.000000000000001082e-02,9.907942908310019003e-01,-1.254949819917792475e-01,-7.895221608515422540e-01,-6.241556411670194038e+00,2.290936055284439660e-04
2.100000000000001171e-02,9.899851407351060173e-01,-1.317340103985545907e-01,-8.287726655839702250e-01,-6.236459194248739735e+00,2.405482857847564705e-04
2.200000000000001260e-02,9.891367564907729282e-01,-1.379678179990784792e-01,-8.679901976068191694e-01,-6.231114834053759211e+00,2.520029660381260979e-04
2.300000000000001349e-02,9.882491718508458201e-01,-1.441961577568877939e-01,-9.071731968818008696e-01,-6.225523545356377753e+00,2.634576462884126880e-04
2.400000000000001438e-02,9.873224221275086476e-01,-1.504187828547398631e-01,-9.463201047764775442e-01,-6.219685552324740740e+00,2.749123265354761077e-04
2.500000000000001527e-02,9.863565441908483944e-01,-1.566354467045047438e-01,-9.854293641276736793e-01,-6.213601089014608725e+00,2.863670067791762239e-04
2.600000000000001615e-02,9.853515764673540511e-01,-1.628459029570480110e-01,-1.024499419304822911e+00,-6.207270399359543056e+00,2.978216870193729575e-04
2.700000000000001704e-02,9.843075589383527557e-01,-1.690499055121034155e-01,-1.063528716273246522e+00,-6.200693737160672292e+00,3.092763672559261214e-04
2.800000000000001793e-02,9.832245331383818732e-01,-1.752472085281352454e-01,-1.102515702657361096e+00,-6.193871366076049156e+00,3.207310474886955823e-04
2.900000000000001882e-02,9.821025421534984590e-01,-1.814375664321896953e-01,-1.141458827803813136e+00,-6.186803559609594494e+00,3.321857277175411529e-04
3.000000000000001971e-02,9.809416306195257729e-01,-1.876207339297350507e-01,-1.180356542844536172e+00,-6.179490601099624669e+00,3.436404079423227543e-04
3.100000000000002059e-02,9.797418447202359548e-01,-1.937964660144901596e-01,-1.219207300759729717e+00,-6.171932783706974845e+00,3.550950881629002533e-04
3.200000000000002148e-02,9.785032321854707504e-01,-1.999645179782408855e-01,-1.258009556440755405e+00,-6.164130410402705706e+00,3.665497683791335169e-04
3.300000000000002237e-02,9.772258422891988427e-01,-2.061246454206439871e-01,-1.296761766752948963e+00,-6.156083793955399841e+00,3.780044485908823576e-04
3.400000000000002326e-02,9.759097258475103454e-01,-2.122766042590181201e-01,-1.335462390598344040e+00,-6.147793256918052229e+00,3.894591287980066967e-04
3.500000000000002415e-02,9.745549352165489010e-01,-2.184201507381215435e-01,-1.374109888978306104e+00,-6.139259131614548615e+00,4.009138090003663466e-04
3.600000000000002504e-02,9.731615242903810525e-01,-2.245550414399160033e-01,-1.412702725056073527e+00,-6.130481760125734425e+00,4.123684891978211743e-04
3.700000000000002592e-02,9.717295484988032195e-01,-2.306810332933166841e-01,-1.451239364219201633e+00,-6.121461494275078685e+00,4.238231693902310467e-04
3.800000000000002681e-02,9.702590648050860578e-01,-2.367978835839273655e-01,-1.489718274141909493e+00,-6.112198695613931143e+00,4.352778495774558849e-04
3.900000000000002770e-02,9.687501317036568693e-01,-2.429053499637608415e-01,-1.528137924847324802e+00,-6.102693735406368170e+00,4.467325297593555014e-04
4.000000000000002859e-02,9.672028092177191727e-01,-2.490031904609439073e-01,-1.566496788769624393e+00,-6.092946994613639866e+00,4.581872099357897632e-04
4.100000000000002948e-02,9.656171588968113229e-01,-2.550911634894065250e-01,-1.604793340816068170e+00,-6.082958863878206834e+00,4.696418901066185371e-04
4.200000000000003036e-02,9.639932438143017368e-01,-2.611690278585549474e-01,-1.643026058428923797e+00,-6.072729743507374600e+00,4.810965702717016901e-04
4.300000000000003125e-02,9.623311285648235014e-01,-2.672365427829281326e-01,-1.681193421647278807e+00,-6.062260043456527470e+00,4.925512504308990347e-04
4.400000000000003214e-02,9.606308792616463643e-01,-2.732934678918373939e-01,-1.719293913168737031e+00,-6.051550183311955600e+00,5.040059305840704921e-04
4.500000000000003303e-02,9.588925635339876630e-01,-2.793395632389884531e-01,-1.757326018410998891e+00,-6.040600592273281499e+00,5.154606107310758748e-04
4.600000000000003392e-02,9.571162505242611918e-01,-2.853745893120858690e-01,-1.795288225573320018e+00,-6.029411709135490405e+00,5.269152908717751041e-04
4.700000000000003481e-02,9.553020108852654513e-01,-2.913983070424192023e-01,-1.833179025697846853e+00,-6.017983982270552978e+00,5.383699710060279925e-04
4.800000000000003569e-02,9.534499167773096140e-01,-2.974104778144306405e-01,-1.870996912730827022e+00,-6.006317869608656324e+00,5.498246511336944611e-04
4.900000000000003658e-02,9.515600418652790937e-01,-3.034108634752637479e-01,-1.908740383583690692e+00,-5.994413838619030876e+00,5.612793312546343226e-04
5.000000000000003747e-02,9.496324613156399419e-01,-3.093992263442927326e-01,-1.946407938194001597e+00,-5.982272366290386501e+00,5.727340113687074980e-04
5.100000000000003836e-02,9.476672517933822926e-01,-3.153753292226318394e-01,-1.983998079586272834e+00,-5.969893939110945347e+00,5.841886914757738001e-04
5.200000000000003925e-02,9.456644914589028561e-01,-3.213389354026249256e-01,-2.021509313932647434e+00,-5.957279053048087469e+00,5.956433715756931499e-04
5.300000000000004013e-02,9.436242599648273499e-01,-3.272898086773141646e-01,-2.058940150613439712e+00,-5.944428213527593208e+00,6.070980516683253600e-04
5.400000000000004102e-02,9.415466384527717558e-01,-3.332277133498878774e-01,-2.096289102277533622e+00,-5.931341935412500987e+00,6.185527317535302431e-04
5.500000000000004191e-02,9.394317095500437365e-01,-3.391524142431071032e-01,-2.133554684902638776e+00,-5.918020742981567217e+00,6.300074118311677204e-04
5.600000000000004280e-02,9.372795573662839885e-01,-3.450636767087103540e-01,-2.170735417855396587e+00,-5.904465169907338939e+00,6.414620919010976044e-04
5.700000000000004369e-02,9.350902674900469780e-01,-3.509612666367963874e-01,-2.207829823951340309e+00,-5.890675759233831243e+00,6.529167719631798162e-04
5.800000000000004458e-02,9.328639269853222782e-01,-3.568449504651841631e-01,-2.244836429514699638e+00,-5.876653063353821871e+00,6.643714520172742770e-04
