tau,x,y,u,v,theta1
0.000000000000000000e+00,9.905999999999999250e-01,-0.000000000000000000e+00,0.000000000000000000e+00,-6.342527468120791490e+00,0.000000000000000000e+00
1.000000000000000021e-03,9.905798844958032534e-01,-6.342484536613074951e-03,-4.023086839444606905e-02,-6.342398674051990426e+00,5.688566128826116315e-06
2.000000000000000042e-03,9.905195388232012066e-01,-1.268471148697964714e-02,-8.046005682161952444e-02,-6.342012297518863306e+00,1.137713225763507005e-05
3.000000000000000062e-03,9.904189655021141681e-01,-1.902642327619964713e-02,-1.206858853958418659e-01,-6.341368355540894619e+00,1.706569838640969438e-05
4.000000000000000083e-03,9.902781687322732562e-01,-2.536736235206522166e-02,-1.609066743946168943e-01,-6.340466876482810932e+00,2.275426451513282928e-05
5.000000000000000104e-03,9.900971543930165986e-01,-3.170727119640521369e-02,-2.011207443402070472e-01,-6.339307900052958189e+00,2.844283064378731046e-05
6.000000000000000125e-03,9.898759300430036712e-01,-3.804589233642770990e-02,-2.413264160811920134e-01,-6.337891477301029752e+00,3.413139677235596688e-05
7.000000000000000146e-03,9.896145049198482591e-01,-4.438296835605996110e-02,-2.815220108740035254e-01,-6.336217670615146069e+00,3.981996290082164442e-05
8.000000000000000167e-03,9.893128899396698150e-01,-5.071824190728510540e-02,-3.217058504644305650e-01,-6.334286553718288637e+00,4.550852902916717203e-05
9.000000000000001055e-03,9.889710976965633282e-01,-5.705145572147495708e-02,-3.618762571690891106e-01,-6.332098211664082044e+00,5.119709515737539221e-05
1.000000000000000194e-02,9.885891424619879242e-01,-6.338235262071828524e-02,-4.020315539568504182e-01,-6.329652740831931190e+00,5.688566128542913390e-05
1.100000000000000283e-02,9.881670401840737528e-01,-6.971067552914386733e-02,-4.421700645302217847e-01,-6.326950248921511033e+00,6.257422741331124640e-05
1.200000000000000372e-02,9.877048084868478295e-01,-7.603616748423776273e-02,-4.822901134066742146e-01,-6.323990854946607953e+00,6.826279354100455864e-05
