tau,x,y,u,v,theta1
0.000000000000000000e+00,9.959000000000000075e-01,-0.000000000000000000e+00,0.000000000000000000e+00,-6.308999394301780583e+00,0.000000000000000000e+00
1.000000000000000021e-03,9.958800980035122929e-01,-6.308957367936420500e-03,-3.980385877039438469e-02,-6.308873315633383605e+00,2.837154133002572943e-06
2.000000000000000042e-03,9.958203928192747023e-01,-1.261766258027773729e-02,-7.960610709725834955e-02,-6.308495084853251278e+00,5.674308266003016446e-06
3.000000000000000062e-03,9.957208868629263687e-01,-1.892586349187887554e-02,-1.194051346069507913e-01,-6.307864717636292973e+00,8.511462398999200643e-06
4.000000000000000083e-03,9.955815841604158667e-01,-2.523330797849430984e-02,-1.591993310656054650e-01,-6.306982240106536075e+00,1.134861653198899737e-05
5.000000000000000104e-03,9.954024903478267960e-01,-3.153974394722661168e-02,-1.989870864490089764e-01,-6.305847688835890530e+00,1.418577066497027632e-05
6.000000000000000125e-03,9.951836126711328667e-01,-3.784491934697349624e-02,-2.387667910124671444e-01,-6.304461110842424887e+00,1.702292479794090808e-05
7.000000000000000146e-03,9.949249599858838167e-01,-4.414858217887292907e-02,-2.785368353606563208e-01,-6.302822563588142302e+00,1.986007893089876319e-05
8.000000000000000167e-03,9.946265427568207196e-01,-5.045048050674572765e-02,-3.182956105174556960e-01,-6.300932114976268927e+00,2.269723306384171391e-05
9.000000000000001055e-03,9.942883730574222367e-01,-5.675036246753524527e-02,-3.580415079957565694e-01,-6.298789843348047590e+00,2.553438719676762910e-05
1.000000000000000194e-02,9.939104645693804807e-01,-6.304797628174355073e-02,-3.977729198672451116e-01,-6.296395837479036750e+00,2.837154132967438101e-05
1.100000000000000283e-02,9.934928325820074901e-01,-6.934307026386372919e-02,-4.374882388321547633e-01,-6.293750196574922740e+00,3.120869546255983852e-05
1.200000000000000372e-02,9.930354939915716495e-01,-7.563539283280765191e-02,-4.771858582889842437e-01,-6.290853030266831958e+00,3.404584959542187049e-05
1.300000000000000461e-02,9.925384673005646086e-01,-8.192469252232890964e-02,-5.168641724041775909e-01,-6.287704458606157232e+00,3.688300372825834917e-05
1.400000000000000550e-02,9.920017726168988137e-01,-8.821071799144028502e-02,-5.565215761817623452e-01,-6.284304612058890349e+00,3.972015786106714681e-05
1.500000000000000638e-02,9.914254316530347610e-01,-9.449321803482531312e-02,-5.961564655329423257e-01,-6.280653631499463430e+00,4.255731199384613566e-05
1.600000000000000727e-02,9.908094677250391946e-01,-1.007719415932434304e-01,-6.357672373456407788e-01,-6.276751668204101797e+00,4.539446612659318121e-05
1.700000000000000816e-02,9.901539057515735820e-01,-1.070466377639282124e-01,-6.753522895539904036e-01,-6.272598883843681250e+00,4.823162025930615571e-05
1.800000000000000905e-02,9.894587722528132012e-01,-1.133170558109783121e-01,-7.149100212077664773e-01,-6.268195450476101271e+00,5.106877439198293140e-05
1.900000000000000994e-02,9.887240953492968387e-01,-1.195829451757404183e-01,-7.544388325417593633e-01,-6.263541550538167080e+00,5.390592852462138055e-05
2.000000000000001082e-02,9.879499047607072093e-01,-1.258440554871839145e-01,-7.939371250450824036e-01,-6.258637376836981403e+00,5.674308265721936863e-05
2.100000000000001171e-02,9.871362318045818762e-01,-1.321001365722666576e-01,-8.334033015304117553e-01,-6.253483132540849532e+00,5.958023678977476790e-05
2.200000000000001260e-02,9.862831093949550043e-01,-1.383509384662914565e-01,-8.728357662031539510e-01,-6.248079031169696762e+00,6.241739092228545060e-05
2.300000000000001349e-02,9.853905720409302793e-01,-1.445962114232526574e-01,-9.122329247305382971e-01,-6.242425296584997341e+00,6.525454505474929576e-05
2.400000000000001438e-02,9.844586558451844382e-01,-1.508357059261724864e-01,-9.515931843106288923e-01,-6.236522162979221129e+00,6.809169918716416210e-05
2.500000000000001527e-02,9.834873985024020770e-01,-1.570691726974265401e-01,-9.909149537412544895e-01,-6.230369874864790880e+00,7.092885331952792185e-05
2.600000000000001615e-02,9.824768392976412912e-01,-1.632963627090580905e-01,-1.030196643488850761e+00,-6.223968687062555460e+00,7.376600745183844727e-05
2.700000000000001704e-02,9.814270191046309266e-01,-1.695170271930803996e-01,-1.069436665757212079e+00,-6.217318864689779900e+00,7.660316158409361063e-05
2.800000000000001793e-02,9.803379803839986639e-01,-1.757309176517670990e-01,-1.108633434556149266e+00,-6.210420683147652277e+00,7.944031571629127061e-05
2.900000000000001882e-02,9.792097671814307125e-01,-1.819377858679295523e-01,-1.147785365770048527e+00,-6.203274428108309202e+00,8.227746984842931302e-05
3.000000000000001971e-02,9.780424251257633372e-01,-1.881373839151811167e-01,-1.186890877226329799e+00,-6.195880395501376370e+00,8.511462398050561012e-05
3.100000000000002059e-02,9.768360014270051073e-01,-1.943294641681877766e-01,-1.225948388763798746e+00,-6.188238891500033034e+00,8.795177811251802061e-05
3.200000000000002148e-02,9.755905448742917541e-01,-2.005137793129044832e-01,-1.264956322300889502e+00,-6.180350232506591546e+00,9.078893224446441673e-05
3.300000000000002237e-02,9.743061058337724178e-01,-2.066900823567968393e-01,-1.303913101903796168e+00,-6.172214745137604375e+00,9.362608637634267075e-05
3.400000000000002326e-02,9.729827362464277263e-01,-2.128581266390477678e-01,-1.342817153854485968e+00,-6.163832766208488856e+00,9.646324050815065492e-05
3.500000000000002415e-02,9.716204896258202606e-01,-2.190176658407484434e-01,-1.381666906718593602e+00,-6.155204642717676755e+00,9.930039463988624149e-05
3.600000000000002504e-02,9.702194210557767429e-01,-2.251684539950732089e-01,-1.420460791413191703e+00,-6.146330731830288663e+00,1.021375487715473027e-04
3.700000000000002592e-02,9.687795871880030552e-01,-2.313102454974378663e-01,-1.459197241274433399e+00,-6.137211400861332322e+00,1.049747029031317108e-04
3.800000000000002681e-02,9.673010462396313125e-01,-2.374427951156410366e-01,-1.497874692125064744e+00,-6.127847027258430224e+00,1.078118570346373246e-04
3.900000000000002770e-02,9.657838579906993237e-01,-2.435658579999878393e-01,-1.536491582341802387e+00,-6.118237998584072024e+00,1.106490111660620297e-04
4.000000000000002859e-02,9.642280837815632166e-01,-2.496791896933958088e-01,-1.575046352922572668e+00,-6.108384712497398894e+00,1.134861652974036850e-04
4.100000000000002948e-02,9.626337865102426727e-01,-2.557825461414821033e-01,-1.613537447553609505e+00,-6.098287576735514470e+00,1.163233194286601626e-04
4.200000000000003036e-02,9.610010306296991045e-01,-2.618756837026320894e-01,-1.651963312676407281e+00,-6.087947009094331285e+00,1.191604735598293348e-04
4.300000000000003125e-02,9.593298821450468861e-01,-2.679583591580482205e-01,-1.690322397554524070e+00,-6.077363437408946467e+00,1.219976276909090740e-04
4.400000000000003214e-02,9.576204086106980817e-01,-2.740303297217793754e-01,-1.728613154340233216e+00,-6.066537299533552030e+00,1.248347818218972522e-04
4.500000000000003303e-02,9.558726791274403389e-01,-2.800913530507295190e-01,-1.766834038141018803e+00,-6.055469043320884204e+00,1.276719359527917418e-04
4.600000000000003392e-02,9.540867643394487230e-01,-2.861411872546459345e-01,-1.804983507085912153e+00,-6.044159126601202914e+00,1.305090900835904151e-04
4.700000000000003481e-02,9.522627364312307163e-01,-2.921795909060860286e-01,-1.843060022391664665e+00,-6.032608017160815628e+00,1.333462442142911307e-04
4.800000000000003569e-02,9.504006691245058258e-01,-2.982063230503623763e-01,-1.881062048428754574e+00,-6.020816192720135795e+00,1.361833983448917473e-04
4.900000000000003658e-02,9.485006376750186874e-01,-3.042211432154657280e-01,-1.918988052787224952e+00,-6.008784140911287430e+00,1.390205524753901779e-04
5.000000000000003747e-02,9.465627188692868899e-01,-3.102238114219652565e-01,-1.956836506342346294e+00,-5.996512359255245173e+00,1.418577066057842540e-04
5.100000000000003836e-02,9.445869910212826293e-01,-3.162140881928859337e-01,-1.994605883320104356e+00,-5.984001355138526712e+00,1.446948607360718615e-04
5.200000000000003925e-02,9.425735339690496373e-01,-3.221917345635620933e-01,-2.032294661362506805e+00,-5.971251645789422469e+00,1.475320148662508861e-04
5.300000000000004013e-02,9.405224290712546065e-01,-3.281565120914671230e-01,-2.069901321592706900e+00,-5.958263758253778519e+00,1.503691689963191594e-04
5.400000000000004102e-02,9.384337592036732234e-01,-3.341081828660188435e-01,-2.107424348679939552e+00,-5.945038229370325666e+00,1.532063231262745945e-04
5.500000000000004191e-02,9.363076087556120308e-01,-3.400465095183597963e-01,-2.144862230904267530e+00,-5.931575605745558200e+00,1.560434772561150227e-04
5.600000000000004280e-02,9.341440636262652308e-01,-3.459712552311122180e-01,-2.182213460221133605e+00,-5.917876443728165903e+00,1.588806313858383572e-04
5.700000000000004369e-02,9.319432112210069841e-01,-3.518821837481073689e-01,-2.219476532325715734e+00,-5.903941309383019309e+00,1.617177855154424294e-04
5.800000000000004458e-02,9.297051404476197600e-01,-3.577790593840883826e-01,-2.256649946717083299e+00,-5.889770778464710865e+00,1.645549396449251251e-04
5.900000000000004546e-02,9.274299417124581835e-01,-3.636616470343866925e-01,-2.293732206762146841e+00,-5.875365436390651119e+00,1.673920937742843303e-04
6.000000000000004635e-02,9.251177069165495981e-01,-3.695297121845712573e-01,-2.330721819759403513e+00,-5.860725878213726148e+00,1.702292479035179035e-04
6.100000000000004724e-02,9.227685294516306813e-01,-3.753830209200699763e-01,-2.367617297002470256e+00,-5.845852708594516223e+00,1.730664020326237035e-04
6.200000000000004813e-02,9.203825041961203324e-01,-3.812213399357635146e-01,-2.404417153843404709e+00,-5.830746541773072167e+00,1.759035561615996160e-04
6.300000000000004208e-02,9.179597275110300547e-01,-3.870444365455503744e-01,-2.441119909755809392e+00,-5.815408001540261829e+00,1.787407102904434999e-04
6.400000000000004297e-02,9.155002972358106117e-01,-3.928520786918832108e-01,-2.477724088397715185e+00,-5.799837721208679575e+00,1.815778644191532408e-04
6.500000000000004385e-02,9.130043126841363987e-01,-3.986440349552759499e-01,-2.514228217674242316e+00,-5.784036343583125017e+00,1.844150185477266975e-04
6.600000000000004474e-02,9.104718746396273099e-01,-4.044200745637808181e-01,-2.550630829800034416e+00,-5.768004520930650969e+00,1.872521726761617559e-04
6.700000000000004563e-02,9.079030853515077659e-01,-4.101799674024356746e-01,-2.586930461361462985e+00,-5.751742914950183305e+00,1.900893268044562745e-04
6.800000000000004652e-02,9.052980485302041247e-01,-4.159234840226803676e-01,-2.623125653378600486e+00,-5.735252196741717157e+00,1.929264809326081121e-04
6.900000000000004741e-02,9.026568693428801415e-01,-4.216503956517423379e-01,-2.659214951366956292e+00,-5.718533046775084117e+00,1.957636350606151545e-04
7.000000000000004829e-02,8.999796544089105899e-01,-4.273604742019905811e-01,-2.695196905398973719e+00,-5.701586154858302891e+00,1.986007891884752604e-04
7.100000000000004918e-02,8.972665117952939307e-01,-4.330534922802578568e-01,-2.731070070165286356e+00,-5.684412220105507174e+00,2.014379433161863156e-04
7.200000000000005007e-02,8.945175510120034756e-01,-4.387292231971306466e-01,-2.766833005035727489e+00,-5.667011950904456086e+00,2.042750974437461788e-04
7.300000000000005096e-02,8.917328830072775991e-01,-4.443874409762061939e-01,-2.802484274120093044e+00,-5.649386064883628045e+00,2.071122515711527358e-04
7.400000000000005185e-02,8.889126201628498869e-01,-4.500279203633167913e-01,-2.838022446328652748e+00,-5.631535288878902534e+00,2.099494056984038454e-04
7.500000000000005274e-02,8.860568762891182226e-01,-4.556504368357202628e-01,-2.873446095432407255e+00,-5.613460358899831526e+00,2.127865598254973932e-04
7.600000000000005362e-02,8.831657666202540335e-01,-4.612547666112565836e-01,-2.908753800123088595e+00,-5.595162020095496125e+00,2.156237139524312381e-04
7.700000000000005451e-02,8.802394078092519170e-01,-4.668406866574703051e-01,-2.943944144072899061e+00,-5.576641026719962646e+00,2.184608680792032387e-04
7.800000000000005540e-02,8.772779179229189817e-01,-4.724079747006978414e-01,-2.979015715993988955e+00,-5.557898142097330130e+00,2.212980222058112808e-04
7.900000000000005629e-02,8.742814164368057916e-01,-4.779564092351201166e-01,-3.013967109697667457e+00,-5.538934138586375511e+00,2.241351763322532232e-04
8.000000000000005718e-02,8.712500242300772468e-01,-4.834857695317792414e-01,-3.048796924153344357e+00,-5.519749797544799996e+00,2.269723304585269516e-04
8.100000000000005806e-02,8.681838635803255100e-01,-4.889958356475594403e-01,-3.083503763547201793e+00,-5.500345909293077540e+00,2.298094845846303247e-04
8.200000000000005895e-02,8.650830581583237588e-01,-4.944863884341316185e-01,-3.118086237340588873e+00,-5.480723273077902746e+00,2.326466387105612283e-04
8.300000000000005984e-02,8.619477330227219847e-01,-4.999572095468610700e-01,-3.152542960328140964e+00,-5.460882697035253308e+00,2.354837928363175212e-04
8.400000000000006073e-02,8.587780146146847260e-01,-5.054080814536782151e-01,-3.186872552695618310e+00,-5.440824998153054537e+00,2.383209469618970621e-04
8.500000000000006162e-02,8.555740307524714039e-01,-5.108387874439116461e-01,-3.221073640077461331e+00,-5.420551002233458426e+00,2.411581010872977367e-04
8.600000000000006251e-02,8.523359106259585927e-01,-5.162491116370833133e-01,-3.255144853614059475e+00,-5.400061543854738133e+00,2.439952552125174308e-04
8.700000000000006339e-02,8.490637847911057801e-01,-5.216388389916655210e-01,-3.289084830008734528e+00,-5.379357466332793436e+00,2.468324093375539761e-04
8.800000000000006428e-02,8.457577851643641731e-01,-5.270077553137991755e-01,-3.322892211584429489e+00,-5.358439621682278720e+00,2.496695634624052583e-04
8.900000000000006517e-02,8.424180450170285495e-01,-5.323556472659728422e-01,-3.356565646340104792e+00,-5.337308870577353481e+00,2.525067175870691905e-04
9.000000000000006606e-02,8.390446989695333757e-01,-5.376823023756623909e-01,-3.390103788006838315e+00,-5.315966082312051810e+00,2.553438717115436040e-04
9.100000000000006695e-02,8.356378829856927482e-01,-5.429875090439311158e-01,-3.423505296103627416e+00,-5.294412134760280608e+00,2.581810258358263306e-04
9.200000000000006783e-02,8.321977343668847116e-01,-5.482710565539892222e-01,-3.456768835992885425e+00,-5.272647914335446551e+00,2.610181799599153103e-04
9.300000000000006872e-02,8.287243917461800669e-01,-5.535327350797133450e-01,-3.489893078935638826e+00,-5.250674315949714455e+00,2.638553340838083747e-04
9.400000000000006961e-02,8.252179950824164445e-01,-5.587723356941243225e-01,-3.522876702146412242e+00,-5.228492242972897053e+00,2.666924882075034095e-04
9.500000000000007050e-02,8.216786856542175332e-01,-5.639896503778245584e-01,-3.555718388847809219e+00,-5.206102607190985943e+00,2.695296423309983007e-04
9.600000000000007139e-02,8.181066060539576856e-01,-5.691844720273929736e-01,-3.588416828324776819e+00,-5.183506328764314830e+00,2.723667964542908796e-04
9.700000000000007228e-02,8.145019001816725668e-01,-5.743565944637384346e-01,-3.620970715978557575e+00,-5.160704336185369279e+00,2.752039505773790323e-04
9.800000000000007316e-02,8.108647132389161793e-01,-5.795058124404107724e-01,-3.653378753380325250e+00,-5.137697566236239410e+00,2.780411047002606445e-04
9.900000000000007405e-02,8.071951917225641537e-01,-5.846319216518687245e-01,-3.685639648324498641e+00,-5.114486963945719999e+00,2.808782588229336019e-04
1.000000000000000749e-01,8.034934834185639696e-01,-5.897347187417051328e-01,-3.717752114881736958e+00,-5.091073482546057960e+00,2.837154129453957362e-04
1.010000000000000758e-01,7.997597373956323308e-01,-5.948140013108288437e-01,-3.749714873451608366e+00,-5.067458083429353444e+00,2.865525670676449333e-04
1.020000000000000767e-01,7.959941039989002487e-01,-5.998695679256023094e-01,-3.781526650814932999e+00,-5.043641736103618101e+00,2.893897211896790788e-04
1.030000000000000776e-01,7.921967348435053902e-01,-6.049012181259355581e-01,-3.813186180185797358e+00,-5.019625418148485174e+00,2.922268753114960044e-04
1.040000000000000785e-01,7.883677828081332439e-01,-6.099087524333355326e-01,-3.844692201263236520e+00,-4.995410115170587417e+00,2.950640294330935959e-04
1.050000000000000794e-01,7.845074020285064398e-01,-6.148919723589103548e-01,-3.876043460282584174e+00,-4.970996820758593060e+00,2.979011835544697392e-04
1.060000000000000803e-01,7.806157478908227754e-01,-6.198506804113292912e-01,-3.907238710066486487e+00,-4.946386536437906933e+00,3.007383376756223199e-04
1.070000000000000812e-01,7.766929770251427279e-01,-6.247846801047360898e-01,-3.938276710075576670e+00,-4.921580271625047409e+00,3.035754917965491698e-04
1.080000000000000820e-01,7.727392472987260064e-01,-6.296937759666176859e-01,-3.969156226458811609e+00,-4.896579043581684054e+00,3.064126459172481745e-04
1.090000000000000829e-01,7.687547178093183664e-01,-6.345777735456258339e-01,-3.999876032103464318e+00,-4.871383877368361759e+00,3.092498000377172200e-04
1.100000000000000838e-01,7.647395488783885753e-01,-6.394364794193528878e-01,-4.030434906684773111e+00,-4.845995805797890910e+00,3.120869541579541378e-04
1.110000000000000847e-01,7.606939020443155286e-01,-6.442697012020607295e-01,-4.060831636715242610e+00,-4.820415869388426700e+00,3.149241082779568137e-04
1.120000000000000856e-01,7.566179400555265167e-01,-6.490772475523621798e-01,-4.091065015593598808e+00,-4.794645116316225142e+00,3.177612623977231336e-04
1.130000000000000865e-01,7.525118268635868635e-01,-6.538589281808557807e-01,-4.121133843653390194e+00,-4.768684602368088221e+00,3.205984165172509831e-04
1.140000000000000874e-01,7.483757276162407157e-01,-6.586145538577120595e-01,-4.151036928211237154e+00,-4.742535390893495517e+00,3.234355706365381940e-04
1.150000000000000883e-01,7.442098086504042032e-01,-6.633439364202123878e-01,-4.180773083614727881e+00,-4.716198552756430296e+00,3.262727247555826521e-04
1.160000000000000892e-01,7.400142374851104154e-01,-6.680468887802391009e-01,-4.210341131289954575e+00,-4.689675166286899177e+00,3.291098788743822431e-04
1.170000000000000900e-01,7.357891828144074164e-01,-6.727232249317173229e-01,-4.239739899788695254e+00,-4.662966317232146274e+00,3.319470329929348528e-04
1.180000000000000909e-01,7.315348145002092961e-01,-6.773727599580076086e-01,-4.268968224835228753e+00,-4.636073098707573337e+00,3.347841871112383128e-04
1.190000000000000918e-01,7.272513035651001490e-01,-6.819953100392494028e-01,-4.298024949372793557e+00,-4.608996611147357036e+00,3.376213412292905090e-04
1.200000000000000927e-01,7.229388221850920893e-01,-6.865906924596549832e-01,-4.326908923609676272e+00,-4.581737962254779362e+00,3.404584953470892730e-04
1.210000000000000936e-01,7.185975436823374141e-01,-6.911587256147536662e-01,-4.355619005064938598e+00,-4.554298266952261365e+00,3.432956494646325447e-04
1.220000000000000945e-01,7.142276425177950250e-01,-6.956992290185859407e-01,-4.384154058613771276e+00,-4.526678647331112693e+00,3.461328035819181558e-04
1.230000000000000954e-01,7.098292942838517749e-01,-7.002120233108468650e-01,-4.412512956532483877e+00,-4.498880232600996010e+00,3.489699576989439920e-04
