tau,x,y,u,v,theta1
0.000000000000000000e+00,9.925999999999999268e-01,-0.000000000000000000e+00,0.000000000000000000e+00,-6.329854192233197452e+00,0.000000000000000000e+00
1.000000000000000021e-03,9.925799661214799174e-01,-6.329811604280980580e-03,-4.006761925031755017e-02,-6.329726428820740658e+00,2.674159734719438360e-05
2.000000000000000042e-03,9.925198653126529047e-01,-1.265936768357127720e-02,-8.013358504289699868e-02,-6.329343144086042372e+00,5.348319469260570864e-05
3.000000000000000062e-03,9.924197000536766344e-01,-1.898841272388544429e-02,-1.201962439971391572e-01,-6.328704354536803578e+00,8.022479203445090639e-05
4.000000000000000083e-03,9.922794744780185638e-01,-2.531669123324790938e-02,-1.602539428867174875e-01,-6.327810087684877516e+00,1.069663893709469081e-04
5.000000000000000104e-03,9.920991943722633488e-01,-3.164394775269644550e-02,-2.003050287167016663e-01,-6.326660382044793529e+00,1.337079867003106485e-04
6.000000000000000125e-03,9.918788671758427267e-01,-3.796992686728384997e-02,-2.403478488006657032e-01,-6.325255287131692050e+00,1.604495840207590892e-04
7.000000000000000146e-03,9.916185019806884604e-01,-4.429437321707728470e-02,-2.803807508377756386e-01,-6.323594863458671611e+00,1.871911813305091380e-04
8.000000000000000167e-03,9.913181095308083446e-01,-5.061703150815466401e-02,-3.204020829898515110e-01,-6.321679182533544328e+00,2.139327786277777429e-04
9.000000000000001055e-03,9.909777022217847176e-01,-5.693764652359750711e-02,-3.604101939583987391e-01,-6.319508326855002522e+00,2.406743759107818521e-04
1.000000000000000194e-02,9.905972941001967014e-01,-6.325596313447963415e-02,-4.004034330616035864e-01,-6.317082389908199147e+00,2.674159731777383869e-04
1.100000000000000283e-02,9.901769008629647262e-01,-6.957172631085119241e-02,-4.403801503112875770e-01,-6.314401476159735793e+00,2.941575704268642954e-04
1.200000000000000372e-02,9.897165398566184491e-01,-7.588468113271736037e-02,-4.803386964898160305e-01,-6.311465701052067168e+00,3.208991676563764986e-04
1.300000000000000461e-02,9.892162300764880678e-01,-8.219457280101111207e-02,-5.202774232269553600e-01,-6.308275190997314041e+00,3.476407648644919178e-04
1.400000000000000550e-02,9.886759921658181405e-01,-8.850114664855961155e-02,-5.601946830766740826e-01,-6.304830083370493554e+00,3.743823620494275283e-04
1.500000000000000638e-02,9.880958484148053556e-01,-9.480414815104343251e-02,-6.000888295938825445e-01,-6.301130526502157991e+00,4.011239592094002510e-04
1.600000000000000727e-02,9.874758227595588078e-01,-1.011033229379481729e-01,-6.399582174111062560e-01,-6.297176679670452693e+00,4.278655563426270072e-04
1.700000000000000816e-02,9.868159407809845574e-01,-1.073984168035078540e-01,-6.798012023150876715e-01,-6.292968713092587763e+00,4.546071534473247722e-04
1.800000000000000905e-02,9.861162297035928059e-01,-1.136891757176394790e-01,-7.196161413233115312e-01,-6.288506807915723584e+00,4.813487505217104671e-04
1.900000000000000994e-02,9.853767183942291341e-01,-1.199753458368681414e-01,-7.594013927604487124e-01,-6.283791156207274575e+00,5.080903475640010129e-04
2.000000000000001082e-02,9.845974373607290220e-01,-1.262566735152422515e-01,-7.991553163347128175e-01,-6.278821960944631186e+00,5.348319445724133850e-04
2.100000000000001171e-02,9.837784187504960975e-01,-1.325329053152380643e-01,-8.388762732141259448e-01,-6.273599436004299257e+00,5.615735415451645045e-04
2.200000000000001260e-02,9.829196963490044459e-01,-1.388037880186531736e-01,-8.785626261026874273e-01,-6.268123806150457611e+00,5.883151384804712926e-04
2.300000000000001349e-02,9.820213055782243128e-01,-1.450690686374881966e-01,-9.182127393164405404e-01,-6.262395307022938340e+00,6.150567353765506702e-04
2.400000000000001438e-02,9.810832834949724246e-01,-1.513284944248162178e-01,-9.578249788594330738e-01,-6.256414185124625327e+00,6.417983322316195586e-04
2.500000000000001527e-02,9.801056687891855912e-01,-1.575818128856391886e-01,-9.973977124995656585e-01,-6.250180697808279895e+00,6.685399290438948788e-04
2.600000000000001615e-02,9.790885017821194802e-01,-1.638287717877311422e-01,-1.036929309844323965e+00,-6.243695113262784702e+00,6.952815258115936604e-04
2.700000000000001704e-02,9.780318244244708970e-01,-1.700691191724670315e-01,-1.076418142416389001e+00,-6.236957710498816532e+00,7.220231225329328244e-04
2.800000000000001793e-02,9.769356802944247908e-01,-1.763026033656372449e-01,-1.115862583729120505e+00,-6.229968779333943552e+00,7.487647192061292921e-04
2.900000000000001882e-02,9.758001145956262112e-01,-1.825289729882467737e-01,-1.155261009361910007e+00,-6.222728620377149689e+00,7.755063158293999843e-04
3.000000000000001971e-02,9.746251741550762127e-01,-1.887479769672985863e-01,-1.194611797035395995e+00,-6.215237545012788800e+00,8.022479124009618224e-04
3.100000000000002059e-02,9.734109074209535972e-01,-1.949593645465608205e-01,-1.233913326686538969e+00,-6.207495875383966855e+00,8.289895089190317274e-04
3.200000000000002148e-02,9.721573644603604958e-01,-2.011628852973169623e-01,-1.273163980543549512e+00,-6.199503944375358344e+00,8.557311053818267288e-04
3.300000000000002237e-02,9.708645969569943412e-01,-2.073582891290985664e-01,-1.312362143200665576e+00,-6.191262095595454262e+00,8.824727017875636393e-04
3.400000000000002326e-02,9.695326582087440137e-01,-2.135453263004000179e-01,-1.351506201692774578e+00,-6.182770683358246089e+00,9.092142981344594884e-04
3.500000000000002415e-02,9.681616031252121557e-01,-2.197237474293745330e-01,-1.390594545569873386e+00,-6.174030072664343116e+00,9.359558944207311973e-04
3.600000000000002504e-02,9.667514882251629915e-01,-2.258933035045112281e-01,-1.429625566971364004e+00,-6.165040639181529336e+00,9.626974906445956871e-04
3.700000000000002592e-02,9.653023716338957616e-01,-2.320537458952922627e-01,-1.468597660700178276e+00,-6.155802769224762550e+00,9.894390868042698788e-04
3.800000000000002681e-02,9.638143130805441050e-01,-2.382048263628297746e-01,-1.507509224296728068e+00,-6.146316859735609484e+00,1.016180682897970802e-03
3.900000000000002770e-02,9.622873738953017231e-01,-2.443462970704820270e-01,-1.546358658112674700e+00,-6.136583318261126685e+00,1.042922278923915378e-03
4.000000000000002859e-02,9.607216170065745464e-01,-2.504779105944480722e-01,-1.585144365384514753e+00,-6.126602562932188967e+00,1.069663874880320527e-03
4.100000000000002948e-02,9.591171069380588499e-01,-2.565994199343404891e-01,-1.623864752306976245e+00,-6.116375022441258302e+00,1.096405470765403171e-03
4.200000000000003036e-02,9.574739098057465370e-01,-2.627105785237356383e-01,-1.662518228106220519e+00,-6.105901136019607378e+00,1.123147066577380232e-03
4.300000000000003125e-02,9.557920933148572606e-01,-2.688111402407009076e-01,-1.701103205112846295e+00,-6.095181353413991587e+00,1.149888662314468629e-03
4.400000000000003214e-02,9.540717267566976023e-01,-2.749008594182981713e-01,-1.739618098834689430e+00,-6.084216134862770353e+00,1.176630257974885284e-03
4.500000000000003303e-02,9.523128810054473092e-01,-2.809794908550634074e-01,-1.778061328029416410e+00,-6.073005951071491104e+00,1.203371853556847119e-03
4.600000000000003392e-02,9.505156285148734785e-01,-2.870467898254613348e-01,-1.816431314776903116e+00,-6.061551283187921690e+00,1.230113449058571054e-03
